study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,excluded_trials,repetition,correct_object,position_of_correct_object,opening_correct_side,giving_object_to_e
kirchhofer2012dogs,2008,03,27,fraukje,31.0,31,f,chimpanzee,,24.0,,e2_f,spoon,left,no,
kirchhofer2012dogs,2008,03,19,ulla,30.0,30,f,chimpanzee,1,1.0,excluded,a1,scraper,right,,
kirchhofer2012dogs,2008,03,19,ulla,30.0,30,f,chimpanzee,,2.0,,,pvc,left,no,
kirchhofer2012dogs,2008,03,19,ulla,30.0,30,f,chimpanzee,,3.0,,,green_hose,left,yes,
kirchhofer2012dogs,2008,03,19,ulla,30.0,30,f,chimpanzee,,4.0,,,black_hose,right,yes,
kirchhofer2012dogs,2008,03,19,ulla,30.0,30,f,chimpanzee,,5.0,excluded,a2,scraper,right,no,
kirchhofer2012dogs,2008,3,25,ulla,30.0,30,f,chimpanzee,2,6.0,excluded,b1,rope,left,,
kirchhofer2012dogs,2008,3,25,ulla,30.0,30,f,chimpanzee,,7.0,,b2_f,rope,left,yes,yes
kirchhofer2012dogs,2008,3,25,ulla,30.0,30,f,chimpanzee,,8.0,excluded,c1,spoon,right,,
kirchhofer2012dogs,2008,3,25,ulla,30.0,30,f,chimpanzee,,9.0,,,black_hose,left,yes,yes
kirchhofer2012dogs,2008,3,25,ulla,30.0,30,f,chimpanzee,,10.0,,,pvc,right,no,
kirchhofer2012dogs,2008,3,25,ulla,30.0,30,f,chimpanzee,,11.0,,a3_f,scraper,right,no,
kirchhofer2012dogs,2008,03,27,ulla,30.0,30,f,chimpanzee,3,12.0,,,cup,left,yes,yes
kirchhofer2012dogs,2008,03,27,ulla,30.0,30,f,chimpanzee,,13.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,03,27,ulla,30.0,30,f,chimpanzee,,14.0,excluded,d1,rope,right,,
kirchhofer2012dogs,2008,03,27,ulla,30.0,30,f,chimpanzee,,15.0,,,scraper,right,no,
kirchhofer2012dogs,2008,03,27,ulla,30.0,30,f,chimpanzee,,16.0,,d2_f,rope,right,no,
kirchhofer2012dogs,2008,03,30,ulla,30.0,30,f,chimpanzee,4,17.0,,,tube,left,yes,yes
kirchhofer2012dogs,2008,03,30,ulla,30.0,30,f,chimpanzee,,18.0,,,cup,right,yes,yes
kirchhofer2012dogs,2008,03,30,ulla,30.0,30,f,chimpanzee,,19.0,,,scraper,left,no,
kirchhofer2012dogs,2008,03,30,ulla,30.0,30,f,chimpanzee,,20.0,,,green_hose,right,no,
kirchhofer2012dogs,2008,03,30,ulla,30.0,30,f,chimpanzee,r,21.0,,c2_f,spoon,right,no,
kirchhofer2012dogs,2008,03,17,patrick,10.0,10,m,chimpanzee,1,1.0,,,green_hose,right,no,
kirchhofer2012dogs,2008,03,17,patrick,10.0,10,m,chimpanzee,,2.0,,,scraper,left,no,
kirchhofer2012dogs,2008,03,17,patrick,10.0,10,m,chimpanzee,,3.0,,,black_hose,left,no,
kirchhofer2012dogs,2008,03,17,patrick,10.0,10,m,chimpanzee,,4.0,,,pvc,right,no,
kirchhofer2012dogs,2008,03,18,patrick,10.0,10,m,chimpanzee,2,5.0,,,spoon,left,yes,yes
kirchhofer2012dogs,2008,03,18,patrick,10.0,10,m,chimpanzee,,6.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,03,18,patrick,10.0,10,m,chimpanzee,,7.0,,,rope,left,no,
kirchhofer2012dogs,2008,03,18,patrick,10.0,10,m,chimpanzee,,8.0,,,cup,right,no,
