study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,lc_or_lt_trial,pointed_at_both_1st_choice,changed_in_1st_choice,pointed_at_both_2nd_choice,changed_in_2nd_choice,hesitated_in_1st_choice,hesitated_in_2nd_choice,amount_of_chosen_liquid_2nd_choice
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,52.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,53.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,54.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,55.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,56.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,57.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,58.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,59.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,8.0,dunja,31.0,f,orangutan,6.0,60.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,dunja,31.0,f,orangutan,7.0,61.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,dunja,31.0,f,orangutan,7.0,62.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,dunja,31.0,f,orangutan,7.0,63.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,9.0,dunja,31.0,f,orangutan,7.0,64.0,opaque_different,lc_trial,false,false,false,false,false,false,
