study_id,participant,age_in_years,sex,species,session,trial,trial_type,safe_choice,side
heilbronner2008fruit,joey,24,m,bonobo,3,17,n,,l
heilbronner2008fruit,joey,24,m,bonobo,3,18,f,,r
heilbronner2008fruit,joey,24,m,bonobo,3,19,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,3,20,n,,r
heilbronner2008fruit,joey,24,m,bonobo,3,21,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,3,22,n,,l
heilbronner2008fruit,joey,24,m,bonobo,4,1,n,,l
heilbronner2008fruit,joey,24,m,bonobo,4,2,c,1.0,r
heilbronner2008fruit,joey,24,m,bonobo,4,3,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,4,4,f,,l
heilbronner2008fruit,joey,24,m,bonobo,4,5,n,,r
heilbronner2008fruit,joey,24,m,bonobo,4,6,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,4,7,n,,l
heilbronner2008fruit,joey,24,m,bonobo,4,8,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,4,9,f,,r
heilbronner2008fruit,joey,24,m,bonobo,4,10,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,4,11,n,,r
heilbronner2008fruit,joey,24,m,bonobo,4,12,f,,l
heilbronner2008fruit,joey,24,m,bonobo,4,13,c,1.0,r
heilbronner2008fruit,joey,24,m,bonobo,4,14,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,4,15,n,,l
heilbronner2008fruit,joey,24,m,bonobo,4,16,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,4,17,n,,r
heilbronner2008fruit,joey,24,m,bonobo,4,18,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,4,19,c,1.0,r
heilbronner2008fruit,joey,24,m,bonobo,4,20,f,,r
heilbronner2008fruit,joey,24,m,bonobo,4,21,n,,l
heilbronner2008fruit,joey,24,m,bonobo,4,22,n,,r
heilbronner2008fruit,joey,24,m,bonobo,5,1,c,0.0,r
heilbronner2008fruit,joey,24,m,bonobo,5,2,f,,l
heilbronner2008fruit,joey,24,m,bonobo,5,3,f,,r
heilbronner2008fruit,joey,24,m,bonobo,5,4,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,5,5,n,,l
heilbronner2008fruit,joey,24,m,bonobo,5,6,c,1.0,r
heilbronner2008fruit,joey,24,m,bonobo,5,7,n,,l
heilbronner2008fruit,joey,24,m,bonobo,5,8,n,,l
heilbronner2008fruit,joey,24,m,bonobo,5,9,n,,l
heilbronner2008fruit,joey,24,m,bonobo,5,10,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,5,11,n,,l
heilbronner2008fruit,joey,24,m,bonobo,5,12,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,5,13,f,,l
heilbronner2008fruit,joey,24,m,bonobo,5,14,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,5,15,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,5,16,n,,r
heilbronner2008fruit,joey,24,m,bonobo,5,17,c,1.0,r
heilbronner2008fruit,joey,24,m,bonobo,5,18,f,,l
heilbronner2008fruit,joey,24,m,bonobo,5,19,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,5,20,c,0.0,r
heilbronner2008fruit,joey,24,m,bonobo,5,21,n,,r
heilbronner2008fruit,joey,24,m,bonobo,5,22,n,,r
heilbronner2008fruit,joey,24,m,bonobo,6,1,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,2,n,,l
heilbronner2008fruit,joey,24,m,bonobo,6,3,c,0.0,r
heilbronner2008fruit,joey,24,m,bonobo,6,4,n,,l
heilbronner2008fruit,joey,24,m,bonobo,6,5,c,0.0,r
heilbronner2008fruit,joey,24,m,bonobo,6,6,f,,r
heilbronner2008fruit,joey,24,m,bonobo,6,7,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,8,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,9,n,,r
heilbronner2008fruit,joey,24,m,bonobo,6,10,f,,r
heilbronner2008fruit,joey,24,m,bonobo,6,11,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,12,n,,r
heilbronner2008fruit,joey,24,m,bonobo,6,13,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,14,n,,r
heilbronner2008fruit,joey,24,m,bonobo,6,15,n,,r
heilbronner2008fruit,joey,24,m,bonobo,6,16,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,17,n,,l
heilbronner2008fruit,joey,24,m,bonobo,6,18,c,1.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,19,f,,l
heilbronner2008fruit,joey,24,m,bonobo,6,20,f,,l
heilbronner2008fruit,joey,24,m,bonobo,6,21,c,0.0,l
heilbronner2008fruit,joey,24,m,bonobo,6,22,n,,r
heilbronner2008fruit,joey,24,m,bonobo,1,1,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,2,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,3,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,1,4,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,5,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,1,6,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,1,7,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,8,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,1,9,c,1.0,
