study_id,experiment,experiment_name,participant,sex,role,participant_2,sex_2,role_2,species,species_subgroup,dyad,session,trial,ses_nr_overall,ses_nr_species,order_on_day,condition,who_moves_food,total_nr_trial,food_type,food_time,stooge_present,stooge_reaches,open_door,touches_rope,pull_attempt,pull
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,14,1.0,56.0,28.0,1.0,social,chimp,2.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,14,2.0,56.0,28.0,1.0,social,chimp,2.0,banana,15.0,1.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,1,1.0,1.0,1.0,2.0,social,chimp,4.0,grape,7.0,1.0,1.0,1.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,1,2.0,1.0,1.0,2.0,social,chimp,4.0,banana,7.0,1.0,1.0,1.0,1.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,1,3.0,1.0,1.0,2.0,social,chimp,4.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,1,4.0,1.0,1.0,2.0,social,chimp,4.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,2,1.0,2.0,2.0,2.0,social,experimenter,7.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,2,2.0,2.0,2.0,2.0,social,experimenter,7.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,2,3.0,2.0,2.0,2.0,social,experimenter,7.0,banana,7.0,1.0,1.0,1.0,1.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,2,4.0,2.0,2.0,2.0,social,experimenter,7.0,grape,7.0,1.0,1.0,1.0,1.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,2,5.0,2.0,2.0,2.0,social,experimenter,7.0,banana,15.0,1.0,1.0,1.0,1.0,1.0,0.0
hepach2021chimpanzees,1,cpd_all,daza,f,focal_participant,jahaga,f,stooge,chimpanzee,b,daza_jahaga,2,6.0,2.0,2.0,2.0,social,experimenter,7.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
