study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,tooltype,suitability,modify,getsjuice,technic,modifiable,success,modif_lid,modif_bar
manrique2011spontaneous,2,2009,6,14,alex,8,m,chimpanzee,27.0,1.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,14,alex,8,m,chimpanzee,27.0,2.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,14,alex,8,m,chimpanzee,27.0,3.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,2,gertrudia,16,f,chimpanzee,1.0,1.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,2,gertrudia,16,f,chimpanzee,1.0,2.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,2,gertrudia,16,f,chimpanzee,1.0,3.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,3,gertrudia,16,f,chimpanzee,2.0,1.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,3,gertrudia,16,f,chimpanzee,2.0,2.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,3,gertrudia,16,f,chimpanzee,2.0,3.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,4,gertrudia,16,f,chimpanzee,3.0,1.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,4,gertrudia,16,f,chimpanzee,3.0,2.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,4,gertrudia,16,f,chimpanzee,3.0,3.0,dowel,functional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,5,gertrudia,16,f,chimpanzee,4.0,1.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,5,gertrudia,16,f,chimpanzee,4.0,2.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,5,gertrudia,16,f,chimpanzee,4.0,3.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,6,gertrudia,16,f,chimpanzee,5.0,1.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,6,gertrudia,16,f,chimpanzee,5.0,2.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,6,gertrudia,16,f,chimpanzee,5.0,3.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,7,gertrudia,16,f,chimpanzee,6.0,1.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,7,gertrudia,16,f,chimpanzee,6.0,2.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,7,gertrudia,16,f,chimpanzee,6.0,3.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,8,gertrudia,16,f,chimpanzee,22.0,1.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,8,gertrudia,16,f,chimpanzee,22.0,2.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,8,gertrudia,16,f,chimpanzee,22.0,3.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,9,gertrudia,16,f,chimpanzee,23.0,1.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,9,gertrudia,16,f,chimpanzee,23.0,2.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,9,gertrudia,16,f,chimpanzee,23.0,3.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,10,gertrudia,16,f,chimpanzee,24.0,1.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,10,gertrudia,16,f,chimpanzee,24.0,2.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,10,gertrudia,16,f,chimpanzee,24.0,3.0,metalbar,functional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,11,gertrudia,16,f,chimpanzee,25.0,1.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,11,gertrudia,16,f,chimpanzee,25.0,2.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,11,gertrudia,16,f,chimpanzee,25.0,3.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,12,gertrudia,16,f,chimpanzee,26.0,1.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,12,gertrudia,16,f,chimpanzee,26.0,2.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,12,gertrudia,16,f,chimpanzee,26.0,3.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,13,gertrudia,16,f,chimpanzee,27.0,1.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,13,gertrudia,16,f,chimpanzee,27.0,2.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,13,gertrudia,16,f,chimpanzee,27.0,3.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,1,jahaga,16,f,chimpanzee,1.0,1.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,1,jahaga,16,f,chimpanzee,1.0,2.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,1,jahaga,16,f,chimpanzee,1.0,3.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,2,jahaga,16,f,chimpanzee,2.0,1.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,2,jahaga,16,f,chimpanzee,2.0,2.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,2,jahaga,16,f,chimpanzee,2.0,3.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,3,jahaga,16,f,chimpanzee,3.0,1.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
manrique2011spontaneous,2,2009,6,3,jahaga,16,f,chimpanzee,3.0,2.0,dowel,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,no_modify,
