study_id,participant,sex,role,participant_2,sex_2,role_2,species,dyad,condition,point,latency,away,scratch,rock_lip_bang,eat,touch,ignore,time,latency_percentage,scratch_yes,point_yes
brauer2006apes,patrick,m,focal_participant,jahaga,f,competitor,chimpanzee,patrick_jahaga,nosoc-sam,0.0,48.0,1.0,0.0,0.0,5.0,3.0,0.0,89.0,0.5393258426966292,0.0,0.0
brauer2006apes,jahaga,f,focal_participant,patrick,m,competitor,chimpanzee,jahaga_patrick,soc-sam,7.0,10.0,1.0,0.0,0.0,5.0,3.0,0.0,87.0,0.11494252873563218,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,patrick,m,competitor,chimpanzee,jahaga_patrick,soc-dif,10.0,4.0,1.0,1.0,0.0,5.0,3.0,0.0,98.0,0.04081632653061224,1.0,1.0
brauer2006apes,patrick,m,focal_participant,jahaga,f,competitor,chimpanzee,patrick_jahaga,soc-sam,1.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0,83.0,0.03614457831325301,0.0,1.0
brauer2006apes,patrick,m,focal_participant,jahaga,f,competitor,chimpanzee,patrick_jahaga,soc-dif,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,80.0,0.0,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,brent,m,competitor,chimpanzee,fraukje_brent,soc-dif,1.0,70.0,1.0,0.0,1.0,2.0,0.0,6.0,81.0,0.8641975308641975,0.0,1.0
brauer2006apes,brent,m,focal_participant,fraukje,f,competitor,chimpanzee,brent_fraukje,soc-sam,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,70.0,0.0,0.0,1.0
brauer2006apes,brent,m,focal_participant,fraukje,f,competitor,chimpanzee,brent_fraukje,soc-dif,0.0,75.0,1.0,0.0,0.0,0.0,0.0,8.0,75.0,1.0,0.0,0.0
brauer2006apes,fraukje,f,focal_participant,brent,m,competitor,chimpanzee,fraukje_brent,soc-sam,5.0,0.0,0.0,2.0,1.0,5.0,0.0,3.0,69.0,0.0,1.0,1.0
brauer2006apes,brent,m,focal_participant,fraukje,f,competitor,chimpanzee,brent_fraukje,nosoc-dif,2.0,66.0,1.0,0.0,0.0,2.0,0.0,6.0,81.0,0.8148148148148148,0.0,1.0
brauer2006apes,brent,m,focal_participant,fraukje,f,competitor,chimpanzee,brent_fraukje,nosoc-sam,0.0,83.0,1.0,0.0,0.0,0.0,0.0,8.0,83.0,1.0,0.0,0.0
brauer2006apes,fraukje,f,focal_participant,brent,m,competitor,chimpanzee,fraukje_brent,nosoc-dif,5.0,20.0,1.0,0.0,1.0,5.0,0.0,3.0,67.0,0.29850746268656714,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,brent,m,competitor,chimpanzee,fraukje_brent,nosoc-sam,5.0,9.0,1.0,0.0,0.0,4.0,1.0,3.0,64.0,0.140625,0.0,1.0
brauer2006apes,gertrudia,f,focal_participant,dorien,f,competitor,chimpanzee,gertrudia_dorien,soc-sam,6.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,72.0,0.0,0.0,1.0
brauer2006apes,gertrudia,f,focal_participant,dorien,f,competitor,chimpanzee,gertrudia_dorien,soc-dif,7.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,74.0,0.0,0.0,1.0
brauer2006apes,dorien,f,focal_participant,gertrudia,f,competitor,chimpanzee,dorien_gertrudia,soc-sam,1.0,9.0,1.0,3.0,1.0,0.0,2.0,6.0,76.0,0.11842105263157894,1.0,1.0
brauer2006apes,dorien,f,focal_participant,gertrudia,f,competitor,chimpanzee,dorien_gertrudia,soc-dif,1.0,16.0,1.0,2.0,1.0,0.0,7.0,1.0,76.0,0.21052631578947367,1.0,1.0
brauer2006apes,dorien,f,focal_participant,gertrudia,f,competitor,chimpanzee,dorien_gertrudia,nosoc-dif,0.0,48.0,1.0,0.0,1.0,0.0,0.0,8.0,79.0,0.6075949367088608,0.0,0.0
brauer2006apes,dorien,f,focal_participant,gertrudia,f,competitor,chimpanzee,dorien_gertrudia,nosoc-sam,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,81.0,0.0,1.0,0.0
brauer2006apes,gertrudia,f,focal_participant,dorien,f,competitor,chimpanzee,gertrudia_dorien,nosoc-sam,5.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,78.0,0.0,0.0,1.0
brauer2006apes,gertrudia,f,focal_participant,dorien,f,competitor,chimpanzee,gertrudia_dorien,nosoc-dif,10.0,4.0,1.0,0.0,1.0,6.0,2.0,0.0,68.0,0.058823529411764705,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,brent,m,competitor,chimpanzee,jahaga_brent,nosoc-dif,9.0,17.0,1.0,0.0,0.0,4.0,4.0,0.0,73.0,0.2328767123287671,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,brent,m,competitor,chimpanzee,jahaga_brent,nosoc-sam,8.0,13.0,1.0,0.0,0.0,3.0,5.0,0.0,59.0,0.22033898305084745,0.0,1.0
brauer2006apes,brent,m,focal_participant,jahaga,f,competitor,chimpanzee,brent_jahaga,soc-sam,0.0,64.0,1.0,0.0,0.0,2.0,6.0,0.0,81.0,0.7901234567901234,0.0,0.0
brauer2006apes,jahaga,f,focal_participant,brent,m,competitor,chimpanzee,jahaga_brent,soc-sam,4.0,38.0,1.0,0.0,1.0,2.0,6.0,0.0,83.0,0.4578313253012048,0.0,1.0
brauer2006apes,brent,m,focal_participant,jahaga,f,competitor,chimpanzee,brent_jahaga,soc-dif,3.0,61.0,1.0,0.0,0.0,0.0,4.0,4.0,74.0,0.8243243243243243,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,brent,m,competitor,chimpanzee,jahaga_brent,soc-dif,13.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,79.0,0.0,0.0,1.0
brauer2006apes,brent,m,focal_participant,jahaga,f,competitor,chimpanzee,brent_jahaga,nosoc-sam,0.0,80.0,1.0,0.0,0.0,0.0,0.0,8.0,83.0,0.963855421686747,0.0,0.0
