study_id,participant,age_in_years,sex,species,session,trial,trial_subset,subset,early_item,late_item,coord_early_x,coord_early_y,coord_late_x,coord_late_y,magnitude,symbolic_distance,accuracy,latency,wavering,wavering_coder2
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,16,14,pair_35,3,5,1120,896,480,640,3,2,1,1464,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,20,13,pair_34,3,4,1120,896,480,384,3,1,1,1515,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,21,13,pair_12,1,2,1120,896,1120,384,1,1,1,790,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,23,13,pair_25,2,5,800,384,800,128,2,3,1,1216,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,25,14,pair_12,1,2,800,128,480,128,1,1,1,832,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,29,14,pair_15,1,5,160,640,480,384,1,4,1,619,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,30,15,pair_15,1,5,160,128,1120,384,1,4,1,767,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,32,13,pair_23,2,3,1120,896,1120,128,2,1,0,1897,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,34,13,pair_13,1,3,480,896,800,128,1,2,1,3712,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,47,14,pair_14,1,4,800,384,1120,896,1,3,1,876,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,50,13,pair_24,2,4,480,640,160,896,2,2,1,1256,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,53,13,pair_45,4,5,1120,640,800,896,4,1,1,2962,4.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,55,14,pair_34,3,4,160,128,480,384,3,1,1,742,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,57,14,pair_25,2,5,1120,896,480,384,2,3,1,1562,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,60,14,pair_45,4,5,1120,640,1120,896,4,1,1,2715,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,66,14,pair_23,2,3,800,640,480,384,2,1,1,777,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,71,15,pair_34,3,4,160,896,480,896,3,1,1,924,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,72,15,pair_14,1,4,480,384,800,640,1,3,1,675,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,73,15,pair_23,2,3,800,128,160,896,2,1,0,2916,2.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,78,14,pair_24,2,4,160,384,480,896,2,2,1,825,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,80,15,pair_25,2,5,160,128,480,128,2,3,1,791,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,81,15,pair_35,3,5,480,128,160,640,3,2,1,900,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,85,14,pair_13,1,3,480,128,800,384,1,2,1,626,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,86,15,pair_24,2,4,160,384,1120,128,2,2,1,646,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,91,15,pair_13,1,3,160,896,800,384,1,2,1,1094,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,93,15,pair_12,1,2,480,640,480,128,1,1,1,536,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,99,15,pair_45,4,5,160,640,160,128,4,1,1,1907,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,1,16,pair_45,4,5,480,896,1120,384,4,1,1,2343,2.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,5,16,pair_12,1,2,800,896,1120,128,1,1,1,587,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,7,16,pair_13,1,3,800,384,1120,128,1,2,1,466,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,9,17,pair_12,1,2,480,128,800,896,1,1,1,1146,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,13,16,pair_23,2,3,160,896,480,896,2,1,0,1019,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,14,17,pair_45,4,5,800,640,480,896,4,1,1,1733,2.0,
