study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,food,location,choice,trade,tested_fully,give_empty_tubes_back,comments
kanngiesser2011limits,1,food,2008,3,28,frodo,14,m,chimpanzee,choice_trial_2,banana,right,banana,,yes,,side_bias!
kanngiesser2011limits,1,food,2008,3,28,frodo,14,m,chimpanzee,choice_trial_3,banana,right,banana,,yes,,side_bias!
kanngiesser2011limits,1,food,2008,3,28,frodo,14,m,chimpanzee,choice_trial_4,banana,left,pellet,,yes,,side_bias!
kanngiesser2011limits,1,food,2008,3,28,natascha,28,f,chimpanzee,trading_control_3,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,28,natascha,28,f,chimpanzee,trading_control_4,pellet,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,3,28,natascha,28,f,chimpanzee,choice_trial_1,banana,right,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,28,natascha,28,f,chimpanzee,choice_trial_2,banana,left,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,28,natascha,28,f,chimpanzee,choice_trial_3,banana,right,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,28,natascha,28,f,chimpanzee,choice_trial_4,banana,left,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,28,swela,12,f,chimpanzee,trading_control_3,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,28,swela,12,f,chimpanzee,trading_control_4,pellet,,,trade,yes,,frodo_gets_tube_w/_pellet
kanngiesser2011limits,1,food,2008,3,28,swela,12,f,chimpanzee,choice_trial_1,banana,right,pellet,,yes,,doesn't_eat_pellet
kanngiesser2011limits,1,food,2008,3,28,swela,12,f,chimpanzee,choice_trial_2,banana,left,pellet,,yes,,doesn't_eat_pellet
kanngiesser2011limits,1,food,2008,3,28,swela,12,f,chimpanzee,choice_trial_3,banana,left,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,28,swela,12,f,chimpanzee,choice_trial_4,banana,right,banana,,yes,,
kanngiesser2011limits,1,food,2008,3,28,ulindi,14,f,bonobo,initial_choice,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,3,28,ulindi,14,f,bonobo,trading_control_1,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,28,ulindi,14,f,bonobo,trading_control_2,pellet,,,trade,yes,,luiza_gets_empty_tube
kanngiesser2011limits,1,food,2008,3,28,yasa,10,f,bonobo,endowment_trial_b,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,28,limbuko,12,m,bonobo,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,31,kila,7,f,orangutan,initial_choice,banana,right,banana,,no,,
kanngiesser2011limits,1,food,2008,3,31,kila,7,f,orangutan,trading_control_1,pellet,,,trade,no,,not_on_tape
kanngiesser2011limits,1,food,2008,3,31,kila,7,f,orangutan,trading_control_2,banana,,,no_trade,no,,not_on_tape
kanngiesser2011limits,1,food,2008,3,31,pagai,4,m,orangutan,initial_choice,banana,left,pellet,,no,,
kanngiesser2011limits,1,food,2008,3,31,pagai,4,m,orangutan,trading_control_1,pellet,,,no_trade,no,,
kanngiesser2011limits,1,food,2008,3,31,pagai,4,m,orangutan,trading_control_2,banana,,,no_trade,no,,
kanngiesser2011limits,1,food,2008,3,31,raja,4,f,orangutan,initial_choice,banana,right,pellet,,no,,doesn't_give_back_tube
kanngiesser2011limits,1,food,2008,3,31,dokana,19,f,orangutan,initial_choice,banana,left,pellet,,no_,,
kanngiesser2011limits,1,food,2008,3,31,dokana,19,f,orangutan,trading_control_1,banana,,,no_trade,no_,,
kanngiesser2011limits,1,food,2008,3,31,dokana,19,f,orangutan,trading_control_2,pellet,,,no_trade,no,,
kanngiesser2011limits,1,food,2008,3,31,padana,10,f,orangutan,initial_choice,banana,right,pellet,,no,,
kanngiesser2011limits,1,food,2008,3,31,padana,10,f,orangutan,trading_control_1,pellet,,,trade,no,,
kanngiesser2011limits,1,food,2008,3,31,padana,10,f,orangutan,trading_control_2,banana,,,no_trade,no,,
kanngiesser2011limits,1,food,2008,3,31,ulindi,14,f,bonobo,endowment_trial_b,,,,no_trade,yes,,"tries_to_return_tube,_but_luiza_gets_empty_tube"
kanngiesser2011limits,1,food,2008,3,31,yasa,10,f,bonobo,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,31,limbuko,12,m,bonobo,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,31,dunja,34,f,orangutan,initial_choice,banana,left,pellet,,yes,,kila_gets_empty_tube
kanngiesser2011limits,1,food,2008,3,31,dunja,34,f,orangutan,trading_control_1,banana,,,trade,yes,,kila_gets_empty_tube
kanngiesser2011limits,1,food,2008,3,31,dunja,34,f,orangutan,trading_control_2,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,1,ulindi,14,f,bonobo,endowment_trial_p,,,,no_trade,yes,yes,gives_tube_back
kanngiesser2011limits,1,food,2008,4,1,yasa,10,f,bonobo,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,1,dunja,34,f,orangutan,endowment_trial_b,,,,trade,yes,,kila_got_empty_tube
kanngiesser2011limits,1,food,2008,4,2,ulindi,14,f,bonobo,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,2,yasa,10,f,bonobo,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,2,limbuko,12,m,bonobo,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,2,dunja,34,f,orangutan,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,3,ulindi,14,f,bonobo,identical_trial_p,,,,no_trade,yes,yes,
