study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,tool,location,choice,trade,tested_fully,comments
kanngiesser2011limits,2,tool,2008,3,31,dokana,19,f,orangutan,familiarization_trial_2,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,dokana,19,f,orangutan,initial_choice,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,dokana,19,f,orangutan,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,dokana,19,f,orangutan,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,padana,10,f,orangutan,familiarization_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,padana,10,f,orangutan,familiarization_trial_2,plastic_tool,right,short,,yes,
kanngiesser2011limits,2,tool,2008,3,31,padana,10,f,orangutan,familiarization_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,padana,10,f,orangutan,familiarization_trial_4,plastic_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,padana,10,f,orangutan,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,padana,10,f,orangutan,trading_control_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,padana,10,f,orangutan,trading_control_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,joey,25,m,bonobo,identical_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,kuno,11,m,bonobo,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,bimbo,27,m,orangutan,familiarization_trial_1,plastic_tool,right,short,,yes,
kanngiesser2011limits,2,tool,2008,3,31,bimbo,27,m,orangutan,familiarization_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,bimbo,27,m,orangutan,familiarization_trial_3,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,bimbo,27,m,orangutan,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,bimbo,27,m,orangutan,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,bimbo,27,m,orangutan,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,pini,19,f,orangutan,familiarization_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,pini,19,f,orangutan,familiarization_trial_2,plastic_tool,left,short,,yes,
kanngiesser2011limits,2,tool,2008,3,31,pini,19,f,orangutan,familiarization_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,pini,19,f,orangutan,familiarization_trial_4,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,31,pini,19,f,orangutan,initial_choice,wooden_tool,right,,,yes,
