study_id,experiment,participant,sex,species,session,trial,condition,position_hole,hq_food,indicated,bent,plexi,modified_point
tauzin2020context,1,dokana,f,orangutan,2,10,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,2,11,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,2,12,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,1,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,dokana,f,orangutan,3,2,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,dokana,f,orangutan,3,3,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,4,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,5,hq_blocked,left,right,1.0,1.0,0.0,1.0
tauzin2020context,1,dokana,f,orangutan,3,6,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,7,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,8,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,9,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,10,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,11,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,dokana,f,orangutan,3,12,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,1,1,both,center,left,0.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,1,2,both,center,right,1.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,1,3,both,center,left,0.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,1,4,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,1,5,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,1,6,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,1,7,both,center,right,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,1,8,both,center,right,1.0,1.0,0.0,1.0
tauzin2020context,1,fimi,f,bonobo,1,9,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,1,10,both,center,right,1.0,1.0,0.0,1.0
tauzin2020context,1,fimi,f,bonobo,1,11,both,center,left,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,1,12,both,center,right,1.0,1.0,0.0,1.0
tauzin2020context,1,fimi,f,bonobo,2,1,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,2,2,hq_blocked,left,right,1.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,2,3,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,2,4,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,2,5,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,2,6,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,2,7,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,2,8,lq_blocked,left,left,1.0,0.0,0.0,0.0
