study_id,experiment,participant,sex,species,session,trial,condition,experimenter,food_position_center,lateral_point
tauzin2020context,3,hope,f,chimpanzee,3,10,3 hole,different,lq,0.0
tauzin2020context,3,hope,f,chimpanzee,3,11,3 hole,different,lq,0.0
tauzin2020context,3,hope,f,chimpanzee,3,12,3 hole,different,hq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,1,mesh,different,hq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,2,mesh,different,hq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,3,mesh,different,lq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,4,mesh,same,lq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,5,mesh,same,hq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,6,mesh,same,lq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,7,mesh,different,hq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,8,mesh,different,hq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,9,mesh,different,lq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,10,mesh,same,lq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,11,mesh,same,hq,0.0
tauzin2020context,3,hope,f,chimpanzee,4,12,mesh,same,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,1,3 hole,same,lq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,2,3 hole,same,lq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,3,3 hole,same,lq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,4,3 hole,same,lq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,5,3 hole,same,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,6,3 hole,same,lq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,7,3 hole,different,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,8,3 hole,different,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,9,3 hole,different,lq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,10,3 hole,different,lq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,11,3 hole,different,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,1,12,3 hole,different,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,2,1,mesh,same,hq,1.0
tauzin2020context,3,jeudi,f,chimpanzee,2,2,mesh,same,lq,1.0
tauzin2020context,3,jeudi,f,chimpanzee,2,3,mesh,same,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,2,4,mesh,different,lq,1.0
tauzin2020context,3,jeudi,f,chimpanzee,2,5,mesh,different,hq,0.0
tauzin2020context,3,jeudi,f,chimpanzee,2,6,mesh,different,lq,0.0
