study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,housing,code_sticktransfer,condition,exp_contr,towexp_comm,towexpstress,towhelpcomm,towhelpstress
liebal2014does,gorgo,29.0,m,helper,kibara,6.0,f,victim,gorilla,gorgo_kibara,zoo,0,control_2_no_victim,0,,,,
liebal2014does,alexandra,10.0,f,helper,alex,9.0,m,victim,chimpanzee,alexandra_alex,zoo,0,take,1,1.0,1.0,0.0,0.0
liebal2014does,alexandra,10.0,f,helper,alex,9.0,m,victim,chimpanzee,alexandra_alex,zoo,0,give,1,3.0,1.0,0.0,5.0
liebal2014does,alexandra,10.0,f,helper,alex,9.0,m,victim,chimpanzee,alexandra_alex,zoo,0,control_1_no_food,0,,,,
liebal2014does,alexandra,10.0,f,helper,alex,9.0,m,victim,chimpanzee,alexandra_alex,zoo,0,control_2_no_victim,0,,,,
liebal2014does,annett,10.0,f,helper,alex,9.0,m,victim,chimpanzee,annett_alex,zoo,0,take,1,2.0,1.0,0.0,0.0
liebal2014does,annett,10.0,f,helper,alex,9.0,m,victim,chimpanzee,annett_alex,zoo,0,give,1,0.0,0.0,0.0,1.0
liebal2014does,annett,10.0,f,helper,alex,9.0,m,victim,chimpanzee,annett_alex,zoo,0,control_1_no_food,0,,,,
liebal2014does,annett,10.0,f,helper,alex,9.0,m,victim,chimpanzee,annett_alex,zoo,0,control_2_no_victim,0,,,,
liebal2014does,gertrudia,16.0,f,helper,alex,9.0,m,victim,chimpanzee,gertrudia_alex,zoo,0,take,1,2.0,0.0,0.0,2.0
liebal2014does,gertrudia,16.0,f,helper,alex,9.0,m,victim,chimpanzee,gertrudia_alex,zoo,0,give,1,1.0,1.0,0.0,2.0
liebal2014does,gertrudia,16.0,f,helper,alex,9.0,m,victim,chimpanzee,gertrudia_alex,zoo,0,control_1_no_food,0,,,,
liebal2014does,gertrudia,16.0,f,helper,alex,9.0,m,victim,chimpanzee,gertrudia_alex,zoo,0,control_2_no_victim,0,,,,
liebal2014does,fifi,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,fifi_alexandra,zoo,0,take,1,2.0,0.0,1.0,1.0
liebal2014does,fifi,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,fifi_alexandra,zoo,0,give,1,0.0,2.0,9.0,4.0
liebal2014does,fifi,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,fifi_alexandra,zoo,0,control_1_no_food,0,,,,
liebal2014does,fifi,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,fifi_alexandra,zoo,0,control_2_no_victim,0,,,,
liebal2014does,jahaga,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,jahaga_alexandra,zoo,0,take,1,2.0,2.0,0.0,2.0
liebal2014does,jahaga,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,jahaga_alexandra,zoo,0,give,1,0.0,0.0,3.0,2.0
liebal2014does,jahaga,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,jahaga_alexandra,zoo,0,control_1_no_food,0,,,,
liebal2014does,jahaga,16.0,f,helper,alexandra,10.0,f,victim,chimpanzee,jahaga_alexandra,zoo,0,control_2_no_victim,0,,,,
liebal2014does,alexandra,10.0,f,helper,annett,10.0,f,victim,chimpanzee,alexandra_annett,zoo,0,take,1,0.0,4.0,0.0,3.0
liebal2014does,alexandra,10.0,f,helper,annett,10.0,f,victim,chimpanzee,alexandra_annett,zoo,0,give,1,1.0,1.0,0.0,6.0
liebal2014does,alexandra,10.0,f,helper,annett,10.0,f,victim,chimpanzee,alexandra_annett,zoo,0,control_1_no_food,0,,,,
liebal2014does,alexandra,10.0,f,helper,annett,10.0,f,victim,chimpanzee,alexandra_annett,zoo,0,control_2_no_victim,0,,,,
liebal2014does,gertrudia,16.0,f,helper,annett,10.0,f,victim,chimpanzee,gertrudia_annett,zoo,0,take,1,1.0,1.0,0.0,6.0
liebal2014does,gertrudia,16.0,f,helper,annett,10.0,f,victim,chimpanzee,gertrudia_annett,zoo,0,give,1,1.0,2.0,0.0,1.0
liebal2014does,gertrudia,16.0,f,helper,annett,10.0,f,victim,chimpanzee,gertrudia_annett,zoo,0,control_1_no_food,0,,,,
liebal2014does,gertrudia,16.0,f,helper,annett,10.0,f,victim,chimpanzee,gertrudia_annett,zoo,0,control_2_no_victim,0,,,,
liebal2014does,alex,9.0,m,helper,fifi,16.0,f,victim,chimpanzee,alex_fifi,zoo,0,take,1,0.0,3.0,0.0,4.0
liebal2014does,alex,9.0,m,helper,fifi,16.0,f,victim,chimpanzee,alex_fifi,zoo,0,give,1,1.0,0.0,1.0,5.0
liebal2014does,alex,9.0,m,helper,fifi,16.0,f,victim,chimpanzee,alex_fifi,zoo,0,control_1_no_food,0,,,,
liebal2014does,alex,9.0,m,helper,fifi,16.0,f,victim,chimpanzee,alex_fifi,zoo,0,control_2_no_victim,0,,,,
liebal2014does,annett,10.0,f,helper,fifi,16.0,f,victim,chimpanzee,annett_fifi,zoo,0,take,1,1.0,3.0,2.0,8.0
liebal2014does,annett,10.0,f,helper,fifi,16.0,f,victim,chimpanzee,annett_fifi,zoo,0,give,1,0.0,1.0,0.0,3.0
liebal2014does,annett,10.0,f,helper,fifi,16.0,f,victim,chimpanzee,annett_fifi,zoo,1,control_1_no_food,0,,,,
liebal2014does,annett,10.0,f,helper,fifi,16.0,f,victim,chimpanzee,annett_fifi,zoo,0,control_2_no_victim,0,,,,
liebal2014does,gertrudia,16.0,f,helper,fifi,16.0,f,victim,chimpanzee,gertrudia_fifi,zoo,0,take,1,1.0,5.0,1.0,3.0
liebal2014does,gertrudia,16.0,f,helper,fifi,16.0,f,victim,chimpanzee,gertrudia_fifi,zoo,0,give,1,0.0,0.0,0.0,2.0
liebal2014does,gertrudia,16.0,f,helper,fifi,16.0,f,victim,chimpanzee,gertrudia_fifi,zoo,0,control_1_no_food,0,,,,
liebal2014does,gertrudia,16.0,f,helper,fifi,16.0,f,victim,chimpanzee,gertrudia_fifi,zoo,0,control_2_no_victim,0,,,,
liebal2014does,alexandra,10.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,alexandra_gertrudia,zoo,0,take,1,4.0,3.0,1.0,5.0
liebal2014does,alexandra,10.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,alexandra_gertrudia,zoo,0,give,1,1.0,1.0,1.0,7.0
liebal2014does,alexandra,10.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,alexandra_gertrudia,zoo,0,control_1_no_food,0,,,,
liebal2014does,alexandra,10.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,alexandra_gertrudia,zoo,0,control_2_no_victim,0,,,,
liebal2014does,jahaga,16.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,jahaga_gertrudia,zoo,0,take,1,1.0,2.0,1.0,7.0
