study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,species_subgroup,phase,session,trial,condition,pull_left,pull_right,success_left,success_right,efficiency_score,number_grapes_left,number_grapes_right,latency_pull_left,latency_pull_right,min_latency,coordination
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,6,top,no,yes,no,yes,2,0,2,15.0,4.28,4.28,no
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,7,top,no,yes,no,yes,2,0,2,15.0,1.4,1.4,no
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,8,top,no,yes,no,yes,2,0,2,15.0,0.64,0.64,no
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,1,top,no,yes,no,yes,2,0,2,15.0,0.16,0.16,no
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,2,top,yes,yes,yes,no,2,2,0,0.0,0.4,0,no
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,3,top,yes,yes,yes,no,2,2,0,0.04,0.88,0.04,no
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,4,top,yes,yes,yes,no,2,2,0,0.0,0.68,0,no
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,5,top,yes,yes,yes,no,2,2,0,0.0,0.44,0,no
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,6,top,yes,yes,yes,no,1,1,0,0.68,0.24,0.24,no
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,7,top,yes,yes,yes,yes,2,1,1,0.2,0.0,0,yes
sanchez2019chimpanzees,2016,9,27,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,2,8,top,yes,yes,yes,no,1,1,0,0.76,0.0,0,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,1,bot,yes,no,no,yes,2,0,2,2.36,15.0,2.36,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,2,bot,no,no,no,no,0,0,0,15.0,15.0,nd,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,3,bot,no,yes,yes,no,2,2,0,15.0,5.88,5.88,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,4,bot,no,yes,yes,no,2,2,0,15.0,6.92,6.92,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,5,bot,no,yes,yes,no,2,2,0,15.0,1.6,1.6,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,6,bot,yes,yes,no,yes,2,0,2,5.96,11.52,5.96,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,7,bot,yes,no,no,yes,2,0,2,13.72,15.0,13.72,no
sanchez2019chimpanzees,2016,9,28,lobo,12,m,focal_participant_right,kofi,11,m,focal_participant_left,chimpanzee,lobo_kofi,male,a,1,2,8,bot,yes,no,no,no,0,0,0,14.72,15.0,14.72,no
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,1,top,yes,yes,no,yes,2,0,2,0.64,0.0,0,no
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,2,top,yes,yes,no,yes,2,0,2,0.4,0.0,0,no
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,3,top,yes,yes,no,yes,2,0,2,0.8,0.24,0.24,no
