study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,exp_group,order,choice,sum_correct,feature,place
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,10,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,11,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,12,training,learn_see,e2_e1,search_baited_location,11.0,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,1,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,2,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,3,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,4,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,5,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,6,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,1,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,2,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,3,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,4,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,5,test,learn_see,e2_e1,place,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,6,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,7,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,8,test,learn_see,e2_e1,feature,,92*,8*
