study_id,year,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_original,dyad_sex,trial,friendship_relation,poke_left_focal_participant,poke_right_focal_participant,poke_total,turn_taking_within_trial,total_turn_taking_per_dyad
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,1,no,24,27,51,6,19.0
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,2,no,32,0,32,0,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,3,no,28,1,29,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,4,no,32,1,33,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,5,no,24,5,29,3,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,6,no,29,32,61,5,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,7,no,46,0,46,0,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,8,no,54,2,56,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,9,no,42,0,42,0,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,lobo,7,m,focal_participant_left_es_view,chimpanzee,tai_lobo,lobo_tai,mixed,10,no,42,0,42,0,
