study_id,participant,age_in_years,sex,species,zoo,condition,texture,shape,colour,contact_time_sec,contact_proportion,trial_time_sec,manipul_count,manipul_proportion
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,block,red,17.6,0.1,300.2,7,0.06
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,ball,red,286.0,1.0,300.2,111,0.94
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,block,green,26.8,0.1,274.0,5,0.05
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,ball,green,228.8,0.8,274.0,97,0.95
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,block,red,71.8,0.2,293.4,36,0.44
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,block,green,102.6,0.3,293.4,45,0.56
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,ball,red,285.4,1.0,300.2,76,0.6
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,ball,green,290.0,1.0,300.2,50,0.4
ebel2020object,bimbo,32,m,orangutan,leipzig,texture,hard,block,green,9.33,0.1,100.9,2,0.11
ebel2020object,bimbo,33,m,orangutan,leipzig,texture,soft,block,green,91.55,0.9,100.9,17,0.89
ebel2020object,bimbo,34,m,orangutan,leipzig,texture,hard,ball,green,0.0,0.0,0.0,0,0.0
ebel2020object,bimbo,35,m,orangutan,leipzig,texture,soft,ball,green,23.8,1.0,23.8,10,1.0
ebel2020object,bimbo,36,m,orangutan,leipzig,texture,hard,block,red,13.6,0.3,45.6,3,0.5
ebel2020object,bimbo,37,m,orangutan,leipzig,texture,soft,block,red,32.0,0.7,45.6,3,0.5
ebel2020object,bimbo,38,m,orangutan,leipzig,texture,hard,ball,red,4.4,1.0,4.4,1,1.0
ebel2020object,bimbo,39,m,orangutan,leipzig,texture,soft,ball,red,0.0,0.0,0.0,0,0.0
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,hard,block,green,0.0,0.0,0.0,0,0.0
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,soft,block,green,25.0,1.0,25.0,9,1.0
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,hard,ball,green,9.2,0.2,47.6,6,0.35
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,soft,ball,green,38.4,0.8,47.6,11,0.65
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,hard,block,red,31.2,0.5,69.2,14,0.56
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,soft,block,red,38.0,0.5,69.2,11,0.44
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,hard,ball,red,11.4,0.2,46.4,6,0.35
ebel2020object,djamuna,13,f,orangutan,dortmund,texture,soft,ball,red,35.0,0.8,46.4,11,0.65
ebel2020object,djasinga,10,f,orangutan,berlin,texture,hard,block,green,69.6,0.5,133.4,11,0.37
ebel2020object,djasinga,10,f,orangutan,berlin,texture,soft,block,green,63.8,0.5,133.4,19,0.63
ebel2020object,djasinga,10,f,orangutan,berlin,texture,hard,ball,green,29.0,0.5,54.8,13,0.52
ebel2020object,djasinga,10,f,orangutan,berlin,texture,soft,ball,green,25.8,0.5,54.8,12,0.48
ebel2020object,djasinga,10,f,orangutan,berlin,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,djasinga,10,f,orangutan,berlin,texture,soft,block,red,14.4,1.0,14.4,8,1.0
ebel2020object,djasinga,10,f,orangutan,berlin,texture,hard,ball,red,0.0,0.0,0.0,0,0.0
ebel2020object,djasinga,10,f,orangutan,berlin,texture,soft,ball,red,13.6,1.0,13.6,8,1.0
ebel2020object,dokana,23,f,orangutan,leipzig,texture,hard,block,green,0.0,0.0,0.0,0,0.0
ebel2020object,dokana,23,f,orangutan,leipzig,texture,soft,block,green,47.0,1.0,47.0,21,1.0
ebel2020object,dokana,23,f,orangutan,leipzig,texture,hard,ball,green,0.0,0.0,0.0,0,0.0
ebel2020object,dokana,23,f,orangutan,leipzig,texture,soft,ball,green,16.2,1.0,16.2,3,1.0
ebel2020object,dokana,23,f,orangutan,leipzig,texture,hard,block,red,35.2,0.8,45.8,7,0.58
ebel2020object,dokana,23,f,orangutan,leipzig,texture,soft,block,red,10.6,0.2,45.8,5,0.42
ebel2020object,dokana,23,f,orangutan,leipzig,texture,hard,ball,red,9.8,1.0,9.8,5,1.0
ebel2020object,dokana,23,f,orangutan,leipzig,texture,soft,ball,red,0.0,0.0,0.0,0,0.0
ebel2020object,enche,24,m,orangutan,berlin,texture,hard,block,green,0.0,0.0,0.0,0,0.0
ebel2020object,enche,24,m,orangutan,berlin,texture,soft,block,green,34.4,1.0,34.4,11,1.0
ebel2020object,enche,24,m,orangutan,berlin,texture,hard,ball,green,188.6,1.0,188.6,56,1.0
ebel2020object,enche,24,m,orangutan,berlin,texture,soft,ball,green,0.0,0.0,0.0,0,0.0
ebel2020object,enche,24,m,orangutan,berlin,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,enche,24,m,orangutan,berlin,texture,soft,block,red,24.0,1.0,24.0,8,1.0
ebel2020object,enche,24,m,orangutan,berlin,texture,hard,ball,red,0.0,0.0,0.0,0,0.0
ebel2020object,enche,24,m,orangutan,berlin,texture,soft,ball,red,5.6,1.0,5.6,4,1.0
ebel2020object,mano,36,m,orangutan,berlin,texture,hard,block,green,19.0,0.5,40.8,2,0.2
ebel2020object,mano,36,m,orangutan,berlin,texture,soft,block,green,21.8,0.5,40.8,8,0.8
ebel2020object,mano,36,m,orangutan,berlin,texture,hard,ball,green,25.4,0.5,48.4,6,0.43
ebel2020object,mano,36,m,orangutan,berlin,texture,soft,ball,green,23.0,0.5,48.4,8,0.57
ebel2020object,mano,36,m,orangutan,berlin,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,mano,36,m,orangutan,berlin,texture,soft,block,red,8.8,1.0,8.8,5,1.0
ebel2020object,mano,36,m,orangutan,berlin,texture,hard,ball,red,12.6,0.4,31.8,7,0.7
ebel2020object,mano,36,m,orangutan,berlin,texture,soft,ball,red,19.2,0.6,31.8,3,0.3
ebel2020object,padana,15,f,orangutan,leipzig,texture,hard,block,green,0.0,0.0,0.0,0,0.0
ebel2020object,padana,15,f,orangutan,leipzig,texture,soft,block,green,85.4,1.0,85.4,20,1.0
ebel2020object,padana,15,f,orangutan,leipzig,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,padana,15,f,orangutan,leipzig,texture,soft,block,red,3.6,1.0,3.6,9,1.0
ebel2020object,padana,15,f,orangutan,leipzig,texture,hard,ball,red,14.4,0.3,45.2,0,0.0
ebel2020object,padana,15,f,orangutan,leipzig,texture,soft,ball,red,30.8,0.7,45.2,15,1.0
ebel2020object,pini,24,f,orangutan,leipzig,texture,hard,block,green,23.0,0.5,49.0,2,0.25
ebel2020object,pini,24,f,orangutan,leipzig,texture,soft,block,green,26.0,0.5,49.0,6,0.75
ebel2020object,pini,24,f,orangutan,leipzig,texture,hard,ball,green,10.2,0.2,66.2,4,0.13
ebel2020object,pini,24,f,orangutan,leipzig,texture,soft,ball,green,56.0,0.8,66.2,26,0.87
ebel2020object,pini,24,f,orangutan,leipzig,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,pini,24,f,orangutan,leipzig,texture,soft,block,red,41.8,1.0,41.8,10,1.0
ebel2020object,pini,24,f,orangutan,leipzig,texture,hard,ball,red,44.8,0.5,81.8,5,0.23
ebel2020object,pini,24,f,orangutan,leipzig,texture,soft,ball,red,37.0,0.5,81.8,17,0.77
ebel2020object,raja,9,f,orangutan,leipzig,texture,hard,block,green,0.0,0.0,0.0,0,0.0
ebel2020object,raja,9,f,orangutan,leipzig,texture,soft,block,green,47.4,1.0,47.4,14,1.0
ebel2020object,raja,9,f,orangutan,leipzig,texture,hard,ball,green,0.0,0.0,0.0,0,0.0
