study_id,year,month,day,participant,age_in_years,sex,species,session,trial,condition,left,center,right,choice,position_strictly_dominated_baseline
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,11,training_baseline,grape,empty,banana,banana,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,12,training_control_for_decoy_banana,small_banana,empty,banana,banana,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,1,training_control_for_decoy_banana,empty,small_banana,banana,banana,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,2,training_control_for_decoy_grape,small_grape,empty,grape,grape,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,3,training_control_for_decoy_banana,small_banana,banana,empty,banana,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,4,training_control_for_decoy_grape,grape,empty,small_grape,grape,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,5,training_control_for_decoy_grape,grape,small_grape,empty,grape,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,6,training_control_for_decoy_banana,banana,small_banana,empty,banana,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,7,training_baseline,empty,grape,banana,grape,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,8,training_baseline,grape,banana,empty,grape,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,9,training_control_for_decoy_banana,banana,empty,small_banana,banana,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,10,training_baseline,banana,empty,grape,grape,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,11,training_control_for_decoy_banana,empty,banana,small_banana,banana,first
sanchez2019disentangling,2016,8,10,alex,15.0,m,chimpanzee,3,12,training_baseline,banana,grape,empty,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,1,strictly_dominated_baseline,grape,carrot,banana,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,2,strictly_dominated_baseline,carrot,banana,grape,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,3,strictly_dominated_baseline,banana,carrot,grape,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,4,strictly_dominated_baseline,grape,banana,carrot,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,5,strictly_dominated_baseline,carrot,grape,banana,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,6,strictly_dominated_baseline,grape,banana,carrot,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,7,strictly_dominated_baseline,banana,grape,carrot,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,8,strictly_dominated_baseline,grape,carrot,banana,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,9,strictly_dominated_baseline,carrot,banana,grape,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,10,strictly_dominated_baseline,banana,carrot,grape,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,11,strictly_dominated_baseline,carrot,grape,banana,grape,first
sanchez2019disentangling,2016,10,14,alex,15.0,m,chimpanzee,4,12,strictly_dominated_baseline,banana,grape,carrot,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,1,test_decoy_small_banana,banana,small_banana,grape,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,2,test_decoy_small_grape,small_grape,grape,banana,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,3,control_for_preference_banana,banana,grape,banana,grape,first
