study_id,experiment,experiment_name,publication,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,trial,pair,cond_sid,app_side,app_what,app_time,condition,whath,whatv,whathn,whatvn,con_inde
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,3,8.0,h_v_right,left,hidden,2.0,h_v,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,4,8.0,h_h_noise_left,left,hidden,1.0,h_h_noise,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,5,8.0,v_noise_right,right,visible_noise,2.0,v_noise,,,,1.0,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,6,8.0,h_noise_left,left,hidden_noise,1.0,h_noise,,,1.0,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,7,8.0,h_left,left,hidden,1.0,h,1.0,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,8,8.0,v_noise_left,not,not,,v_noise,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,9,8.0,h_right,right,hidden,2.0,h,1.0,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,10,8.0,v_right,right,visible,2.0,v,,1.0,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,11,8.0,h_h_noise_right,not,not,,h_h_noise,,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,12,8.0,h_v_left,not,not,,h_v,,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,1,9.0,v_left,left,visible,2.0,v,,1.0,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,2,9.0,h_v_left,not,not,,h_v,,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,3,9.0,h_noise_right,not,not,,h_noise,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,4,9.0,h_v_right,not,not,,h_v,,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,5,9.0,h_h_noise_left,left,hidden_noise,2.0,h_h_noise,,,1.0,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,6,9.0,v_noise_right,not,not,,v_noise,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,7,9.0,h_noise_left,not,not,,h_noise,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,8,9.0,h_left,left,hidden,3.0,h,1.0,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,9,9.0,v_noise_left,not,not,,v_noise,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,10,9.0,h_right,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,11,9.0,v_right,not,not,,v,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,frodo,9,m,focal_participant,natascha,22,f,against,chimpanzee,frodo_natascha,12,9.0,h_h_noise_right,left,hidden,3.0,h_h_noise,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,1,10.0,h_noise_right,not,not,,h_noise,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,2,10.0,v_right,not,not,,v,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,3,10.0,v_left,not,not,,v,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,4,10.0,h_v_right,left,hidden,2.0,h_v,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,5,10.0,h_noise_left,not,not,,h_noise,,,,,hidden_independent
