study_id,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,trial,condition,choice_prosocial1_selfish0,token_left,token_right,tokens_given,token_chosen_in_training_and_token_preference
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,25.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,26.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,27.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,28.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,29.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,30.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,1.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,2.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,3.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,4.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,5.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,6.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,7.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,8.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,9.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,10.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,11.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,12.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,13.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,14.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,15.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,16.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,17.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,18.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,19.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,20.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,21.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,22.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2014.0,1.0,3.0,luiza,8.0,f,focal_participant,yasa,16,f,partner,bonobo,luiza_yasa,23.0,control,1.0,,,15_grey+15_red,
