study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,condition,together,related,first_pair,first_experience,token_soon,token_late,token_not,token_latency,w_token_soon,w_token_late,w_token_not,w_token_latency,eat_soon,eat_late,eat_soon_percent,eat_late_percent,point,point_pp,if_point,leave,leave_per,if_leave,trialduration,if_extra_beg,if_beg,eat_per_present_time
brauer2009apes,robert,32,m,focal_participant,dorien,27,f,focal_participant,chimpanzee,robert_dorien,same,long,no,,,25.0,0.0,0.0,0.0,23.0,2.0,0.0,7.5,25.0,0.0,1.0,0.0,29.0,0.06415929203539823,1.0,46.0,0.09236947791164658,1.0,498.0,0.0,1.0,0.05530973451327434
brauer2009apes,sandra,14,f,focal_participant,patrick,10,m,competitor,chimpanzee,sandra_patrick,dif,long,no,,,22.0,3.0,0.0,9.0,20.0,5.0,0.0,7.6,25.0,0.0,1.0,0.0,47.0,0.12335958005249344,1.0,29.0,0.07073170731707316,1.0,410.0,0.0,1.0,0.06561679790026247
brauer2009apes,tai,5,f,focal_participant,sandra,14,f,competitor,chimpanzee,tai_sandra,dif,short,yes,,1.0,17.0,8.0,0.0,15.0,16.0,9.0,0.0,14.22,25.0,0.0,1.0,0.0,42.0,0.1268882175226586,1.0,162.0,0.3286004056795132,1.0,493.0,0.0,1.0,0.0755287009063444
brauer2009apes,patrick,10,m,focal_participant,robert,32,m,focal_participant,chimpanzee,patrick_robert,same,long,no,,1.0,19.0,6.0,0.0,21.17,18.0,7.0,0.0,19.0,25.0,0.0,1.0,0.0,42.0,0.10268948655256724,1.0,15.0,0.03537735849056604,1.0,424.0,0.0,1.0,0.061124694376528114
brauer2009apes,robert,32,m,focal_participant,patrick,10,m,focal_participant,chimpanzee,robert_patrick,same,long,no,,,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,49.0,0.11556603773584906,1.0,0.0,0.0,0.0,424.0,0.0,1.0,0.0589622641509434
brauer2009apes,sandra,14,f,focal_participant,tai,5,f,focal_participant,chimpanzee,sandra_tai,same,short,yes,,1.0,25.0,0.0,0.0,0.0,23.0,2.0,0.0,15.5,25.0,0.0,1.0,0.0,34.0,0.09315068493150686,1.0,30.0,0.0759493670886076,1.0,395.0,0.0,1.0,0.0684931506849315
brauer2009apes,tai,5,f,focal_participant,sandra,14,f,focal_participant,chimpanzee,tai_sandra,same,short,yes,,,23.0,2.0,0.0,9.5,22.0,3.0,0.0,10.33,25.0,0.0,1.0,0.0,38.0,0.11143695014662756,1.0,54.0,0.13670886075949368,1.0,395.0,0.0,1.0,0.07331378299120235
brauer2009apes,dorien,27,f,focal_participant,tai,5,f,competitor,chimpanzee,dorien_tai,dif,short,no,,1.0,25.0,0.0,0.0,0.0,23.0,2.0,0.0,9.0,25.0,0.0,1.0,0.0,45.0,0.13157894736842105,1.0,10.0,0.028409090909090908,1.0,352.0,1.0,1.0,0.07309941520467836
brauer2009apes,robert,32,m,focal_participant,riet,30,f,competitor,chimpanzee,robert_riet,dif,long,no,,1.0,24.0,1.0,0.0,8.0,24.0,1.0,0.0,8.0,25.0,0.0,1.0,0.0,37.0,0.09762532981530343,1.0,0.0,0.0,0.0,379.0,0.0,1.0,0.06596306068601583
brauer2009apes,patrick,10,m,focal_participant,sandra,14,f,focal_participant,chimpanzee,patrick_sandra,same,long,no,,,23.0,2.0,0.0,10.5,22.0,3.0,0.0,11.67,25.0,0.0,1.0,0.0,58.0,0.17522658610271905,1.0,58.0,0.14910025706940874,1.0,389.0,0.0,1.0,0.0755287009063444
brauer2009apes,sandra,14,f,focal_participant,patrick,10,m,focal_participant,chimpanzee,sandra_patrick,same,long,no,,,22.0,3.0,0.0,14.0,21.0,4.0,0.0,12.5,25.0,0.0,1.0,0.0,40.0,0.11527377521613832,1.0,42.0,0.10796915167095116,1.0,389.0,1.0,1.0,0.07204610951008646
brauer2009apes,dorien,27,f,focal_participant,tai,5,f,focal_participant,chimpanzee,dorien_tai,same,short,no,,,25.0,0.0,0.0,0.0,23.0,2.0,0.0,5.0,25.0,0.0,1.0,0.0,17.0,0.05379746835443038,1.0,4.0,0.0125,1.0,320.0,1.0,1.0,0.07911392405063292
brauer2009apes,tai,5,f,focal_participant,dorien,27,f,focal_participant,chimpanzee,tai_dorien,same,short,no,,,24.0,1.0,0.0,10.0,24.0,1.0,0.0,10.0,24.0,1.0,0.96,0.040000000000000036,28.0,0.09180327868852459,1.0,15.0,0.046875,1.0,320.0,0.0,1.0,0.07868852459016394
