study_id,year,month,day,participant,age_in_years,sex,species,session,condition,apparatus,solve,time,man,manleft,manright,biman
bohn2020learning,2017,1,10,tai,14.0,f,chimpanzee,5.0,iconic,boxing,0.0,336.0,1.0,1.0,0.0,0.0
bohn2020learning,2017,1,10,lome,15.0,m,chimpanzee,4.0,baseline,boxing,0.0,323.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,10,lobo,12.0,m,chimpanzee,4.0,iconic,boxing,0.0,319.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,10,riet,39.0,f,chimpanzee,4.0,baseline,boxing,0.0,308.0,1.0,0.0,1.0,1.0
bohn2020learning,2017,1,10,fraukje,40.0,f,chimpanzee,5.0,iconic,boxing,0.0,335.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,10,swela,21.0,f,chimpanzee,5.0,baseline,boxing,0.0,343.0,0.0,0.0,0.0,0.0
bohn2020learning,2017,1,10,kofi,11.0,m,chimpanzee,5.0,baseline,apart,0.0,327.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,10,robert,41.0,m,chimpanzee,5.0,baseline,apart,0.0,334.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,10,kisha,12.0,f,chimpanzee,5.0,iconic,apart,0.0,332.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,10,bangolo,7.0,m,chimpanzee,5.0,iconic,apart,0.0,326.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,10,dorien,36.0,f,chimpanzee,5.0,baseline,apart,0.0,322.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,10,natascha,36.0,f,chimpanzee,5.0,iconic,apart,0.0,326.0,0.0,0.0,0.0,0.0
bohn2020learning,2017,1,10,frodo,23.0,m,chimpanzee,5.0,iconic,apart,0.0,330.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,16,robert,41.0,m,chimpanzee,5.0,baseline,apart,0.0,321.0,1.0,0.0,0.0,1.0
bohn2020learning,2017,1,16,riet,39.0,f,chimpanzee,5.0,baseline,boxing,0.0,319.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,16,lome,15.0,m,chimpanzee,5.0,baseline,boxing,0.0,311.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,16,lobo,12.0,m,chimpanzee,5.0,iconic,boxing,0.0,316.0,1.0,1.0,1.0,0.0
