study_id,participant,sex,species,session,trial,condition,first_task,received_preexperience_during_this_study,preexperience_with_raking_tools_during_previous_studies,condition_basket_fixed,time_until_success_excluding_time_when_subject_was_not_interacting_with_material_apparatus_in_seconds,duration_probing_with_unmodified_tool_in_seconds,duration_of_probing_with_functional_modified_tool_in_seconds,duration_of_probing_with_modified_non_functional_tool_in_seconds,latency_between_start_and_first_modification_wire_in_seconds,tool_crafting_time_excluding_interruptions_in_seconds,place_of_modification,technique_used,tool_turned_around,how_often_tool_turned_around,string_touched,duration_of_string_manipulation_in_seconds,wire_inserted_in_wrong_tube,duration_of_wrong_insertion_in_seconds,string_inserted,duration_of_string_insertion_in_seconds,latency_between_start_and_first_touch_wire_in_seconds
laumer2018spontaneous,pini,f,orangutan,3,7,bending_task,bending,no,yes,yes,14.508,0.0,7.797,0.0,5.429,1.278,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.565
laumer2018spontaneous,pini,f,orangutan,3,8,bending_task,bending,no,yes,yes,57.423,0.0,35.127,0.0,4.779,10.183,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.58
laumer2018spontaneous,pini,f,orangutan,3,9,bending_task,bending,no,yes,yes,38.05,0.0,27.15,0.0,6.409,4.01199999999999,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.598
laumer2018spontaneous,pini,f,orangutan,3,10,bending_task,bending,no,yes,yes,102.562,0.0,71.867,0.0,5.632,8.435,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.59
laumer2018spontaneous,tanah,f,orangutan,4,1,bending_task,bending,no,no,no,599.787,31.867,26.465,32.639,47.471,24.723,at_apparatus,q_r,no,0.0,yes,,no,0.0,1,,2.629
laumer2018spontaneous,tanah,f,orangutan,6,1,bending_task,bending,no,no,no,768.772,17.947,3.24799999999993,9.61399999999998,206.961,13.364,at_apparatus,s_q,no,0.0,yes,,no,0.0,0,0.0,1.945
laumer2018spontaneous,tanah,f,orangutan,6,2,bending_task,bending,no,no,no,696.006,0.0,107.253,42.379,288.962,5.44699999999995,at_apparatus,s_q,no,0.0,yes,,no,0.0,1,,36.563
laumer2018spontaneous,tanah,f,orangutan,10,1,bending_task,bending,no,no,no,475.951,82.501,176.218,4.28500000000003,428.127,16.2979999999999,at_apparatus,r,yes,1.0,yes,,no,0.0,1,,4.658
laumer2018spontaneous,tanah,f,orangutan,10,2,bending_task,bending,no,no,no,791.223,17.315,268.306,103.836,30.692,11.901,at_apparatus,r_s,no,0.0,yes,,no,0.0,1,,1.92
laumer2018spontaneous,tanah,f,orangutan,12,1,bending_task,bending,no,no,no,608.694,9.124,132.493,105.661,314.537,3.94799999999998,at_apparatus,r,no,0.0,yes,,no,0.0,1,,2.125
