study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,spitting,latency_first_spit/water,number_of_spits,success,latency_success
hanus2011comparing,2,2005,10,20,okech,4.0,4,m,chimpanzee,5,dry       ,0,,0,0,
hanus2011comparing,2,2005,10,21,okech,4.0,4,m,chimpanzee,6,dry       ,0,,0,0,
hanus2011comparing,2,2005,10,22,okech,4.0,4,m,chimpanzee,7,dry       ,0,,0,0,
hanus2011comparing,2,2005,10,23,okech,4.0,4,m,chimpanzee,1,wet2      ,1,66,1,0,
hanus2011comparing,2,2005,10,24,okech,4.0,4,m,chimpanzee,2,wet2      ,0,,0,0,
hanus2011comparing,2,2005,10,25,okech,4.0,4,m,chimpanzee,3,wet2      ,1,249,5,1,579
hanus2011comparing,2,2005,10,26,okech,4.0,4,m,chimpanzee,4,wet2      ,1,9,4,1,463
hanus2011comparing,2,2005,10,30,okech,4.0,4,m,chimpanzee,5,wet2      ,1,34,3,1,98
hanus2011comparing,2,2005,10,31,okech,4.0,4,m,chimpanzee,6,wet2      ,1,16,5,1,350
hanus2011comparing,2,2005,11,01,okech,4.0,4,m,chimpanzee,7,wet2      ,1,8,3,1,182
hanus2011comparing,2,2005,11,02,okech,4.0,4,m,chimpanzee,8,wet2      ,1,19,6,1,119
hanus2011comparing,2,,,,paiton,6.0,6,m,orangutan,,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,12,pasa,6.0,6,f,chimpanzee,1,wet       ,1,403,2,0,
hanus2011comparing,2,2005,10,13,pasa,6.0,6,f,chimpanzee,2,wet       ,1,501,3,0,
hanus2011comparing,2,2005,10,14,pasa,6.0,6,f,chimpanzee,3,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,15,pasa,6.0,6,f,chimpanzee,4,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,16,pasa,6.0,6,f,chimpanzee,5,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,17,pasa,6.0,6,f,chimpanzee,6,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,20,pasa,6.0,6,f,chimpanzee,7,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,21,pasa,6.0,6,f,chimpanzee,8,wet       ,0,,0,0,
