study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,correct,tool_set,transport,transport_tools,use,use_tools,present,comments
manrique2010great,1,2006,11,21,sandra,14.0,13.0,f,chimpanzee,3.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,11,21,frodo,13.0,12.0,m,chimpanzee,1.0,string,yes,1.0,a+b,grey_plastic+blue_cord,a,grey_plastic,,
manrique2010great,1,2006,11,21,frodo,13.0,12.0,m,chimpanzee,2.0,string,no,1.0,b,blue_cord,b,blue_cord,,
manrique2010great,1,2006,11,21,frodo,13.0,12.0,m,chimpanzee,3.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,11,27,frodo,13.0,13.0,m,chimpanzee,1.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,27,frodo,13.0,13.0,m,chimpanzee,2.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,27,frodo,13.0,13.0,m,chimpanzee,3.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,28,frodo,13.0,13.0,m,chimpanzee,1.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,28,frodo,13.0,13.0,m,chimpanzee,2.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,28,frodo,13.0,13.0,m,chimpanzee,3.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,12,5,frodo,13.0,13.0,m,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,5,frodo,13.0,13.0,m,chimpanzee,2.0,cane,yes,1.0,a+c,wood_cane_pieces+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,5,frodo,13.0,13.0,m,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,11,frodo,13.0,13.0,m,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,11,frodo,13.0,13.0,m,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
