study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,cond,juice_side,indicated,group_original,block,target_position,target_given_at,order,first_item_returned,second_item_returned,third_item_returned,fourth_item_returned,fifth_item_returned
hanus2011chimpanzee,2,exchange_test,2010,10,26,fraukje,34.5,34.0,f,chimpanzee,2.0,6,color,,,1.0,2.0,4.0,1.0,4,4,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,26,fraukje,34.5,34.0,f,chimpanzee,2.0,7,color,,,1.0,2.0,3.0,5.0,42153,4,2,1,5,3
hanus2011chimpanzee,2,exchange_test,2010,10,26,fraukje,34.5,34.0,f,chimpanzee,2.0,8,color,,,1.0,2.0,4.0,3.0,324,3,2,4,,
hanus2011chimpanzee,2,exchange_test,2010,10,28,fraukje,34.5,34.0,f,chimpanzee,3.0,9,color,,,1.0,2.0,5.0,4.0,3145,3,1,4,5,
hanus2011chimpanzee,2,exchange_test,2010,10,28,fraukje,34.5,34.0,f,chimpanzee,3.0,10,color,,,1.0,2.0,3.0,3.0,423,4,2,3,,
hanus2011chimpanzee,2,exchange_test,2010,10,28,fraukje,34.5,34.0,f,chimpanzee,3.0,11,color,,,1.0,2.0,2.0,2.0,32,3,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,28,fraukje,34.5,34.0,f,chimpanzee,3.0,12,color,,,1.0,2.0,1.0,4.0,3241,3,2,4,1,
hanus2011chimpanzee,2,exchange_test,2010,10,29,fraukje,34.5,34.0,f,chimpanzee,4.0,13,color,,,1.0,2.0,2.0,1.0,2,2,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,29,fraukje,34.5,34.0,f,chimpanzee,4.0,14,color,,,1.0,2.0,5.0,4.0,4235,4,2,3,5,
hanus2011chimpanzee,2,exchange_test,2010,10,29,fraukje,34.5,34.0,f,chimpanzee,4.0,15,color,,,1.0,2.0,1.0,4.0,3241,3,2,4,1,
hanus2011chimpanzee,2,exchange_test,2010,10,29,fraukje,34.5,34.0,f,chimpanzee,4.0,16,color,,,1.0,2.0,4.0,3.0,324,3,2,4,,
hanus2011chimpanzee,2,exchange_test,2010,11,2,fraukje,34.5,34.0,f,chimpanzee,5.0,17,color,,,1.0,2.0,1.0,4.0,2341,2,3,4,1,
hanus2011chimpanzee,2,exchange_test,2010,11,2,fraukje,34.5,34.0,f,chimpanzee,5.0,18,color,,,1.0,2.0,2.0,2.0,32,3,2,,,
hanus2011chimpanzee,2,exchange_test,2010,11,2,fraukje,34.5,34.0,f,chimpanzee,5.0,19,color,,,1.0,2.0,3.0,4.0,4213,4,2,1,3,
hanus2011chimpanzee,2,exchange_test,2010,11,2,fraukje,34.5,34.0,f,chimpanzee,5.0,20,color,,,1.0,2.0,5.0,5.0,32145,3,2,1,4,5
hanus2011chimpanzee,2,exchange_test,2010,11,3,fraukje,34.5,34.0,f,chimpanzee,6.0,21,color,,,1.0,2.0,2.0,3.0,352,3,5,2,,
hanus2011chimpanzee,2,exchange_test,2010,11,3,fraukje,34.5,34.0,f,chimpanzee,6.0,22,color,,,1.0,2.0,5.0,4.0,3245,3,2,4,5,
hanus2011chimpanzee,2,exchange_test,2010,11,3,fraukje,34.5,34.0,f,chimpanzee,6.0,23,color,,,1.0,2.0,4.0,2.0,34,3,4,,,
hanus2011chimpanzee,2,exchange_test,2010,11,3,fraukje,34.5,34.0,f,chimpanzee,6.0,24,color,,,1.0,2.0,3.0,2.0,43,4,3,,,
hanus2011chimpanzee,2,exchange_test,2010,11,4,fraukje,34.5,34.0,f,chimpanzee,7.0,25,color,,,1.0,2.0,1.0,5.0,34251,3,4,2,5,1
hanus2011chimpanzee,2,exchange_test,2010,11,4,fraukje,34.5,34.0,f,chimpanzee,7.0,26,color,,,1.0,2.0,4.0,1.0,4,4,,,,
hanus2011chimpanzee,2,exchange_test,2010,11,4,fraukje,34.5,34.0,f,chimpanzee,7.0,27,color,,,1.0,2.0,1.0,4.0,4321,4,3,2,1,
hanus2011chimpanzee,2,exchange_test,2010,11,4,fraukje,34.5,34.0,f,chimpanzee,7.0,28,color,,,1.0,2.0,5.0,5.0,34215,3,4,2,1,5
hanus2011chimpanzee,2,exchange_test,2010,11,5,fraukje,34.5,34.0,f,chimpanzee,8.0,29,color,,,1.0,2.0,3.0,2.0,43,4,3,,,
hanus2011chimpanzee,2,exchange_test,2010,11,5,fraukje,34.5,34.0,f,chimpanzee,8.0,30,color,,,1.0,2.0,4.0,3.0,324,3,2,4,,
hanus2011chimpanzee,2,exchange_test,2010,11,5,fraukje,34.5,34.0,f,chimpanzee,8.0,31,color,,,1.0,2.0,3.0,2.0,43,4,3,,,
hanus2011chimpanzee,2,exchange_test,2010,11,5,fraukje,34.5,34.0,f,chimpanzee,8.0,32,color,,,1.0,2.0,1.0,5.0,43251,4,3,2,5,1
hanus2011chimpanzee,2,exchange_test,2010,11,8,fraukje,34.5,34.0,f,chimpanzee,9.0,33,color,,,1.0,2.0,2.0,4.0,4352,4,3,5,2,
hanus2011chimpanzee,2,exchange_test,2010,11,8,fraukje,34.5,34.0,f,chimpanzee,9.0,34,color,,,1.0,2.0,5.0,1.0,5,5,,,,
hanus2011chimpanzee,2,exchange_test,2010,11,8,fraukje,34.5,34.0,f,chimpanzee,9.0,35,color,,,1.0,2.0,2.0,4.0,4532,4,5,3,2,
hanus2011chimpanzee,2,exchange_test,2010,11,8,fraukje,34.5,34.0,f,chimpanzee,9.0,36,color,,,1.0,2.0,4.0,1.0,4,4,,,,
hanus2011chimpanzee,2,exchange_test,2010,11,9,fraukje,34.5,34.0,f,chimpanzee,10.0,37,color,,,1.0,2.0,5.0,4.0,4325,4,3,2,5,
hanus2011chimpanzee,2,exchange_test,2010,11,9,fraukje,34.5,34.0,f,chimpanzee,10.0,38,color,,,1.0,2.0,3.0,4.0,4523,4,5,2,3,
hanus2011chimpanzee,2,exchange_test,2010,11,9,fraukje,34.5,34.0,f,chimpanzee,10.0,39,color,,,1.0,2.0,1.0,5.0,43215,4,3,2,1,5
hanus2011chimpanzee,2,exchange_test,2010,11,9,fraukje,34.5,34.0,f,chimpanzee,10.0,40,color,,,1.0,2.0,2.0,5.0,45312,4,5,3,1,2
hanus2011chimpanzee,2,exchange_test,2010,10,6,dorien,30.0,29.0,f,chimpanzee,1.0,1,weight,,,1.0,1.0,2.0,5.0,35412,3,5,4,1,2
hanus2011chimpanzee,2,exchange_test,2010,10,6,dorien,30.0,29.0,f,chimpanzee,1.0,2,weight,,,1.0,1.0,5.0,4.0,3425,3,4,2,5,
hanus2011chimpanzee,2,exchange_test,2010,10,6,dorien,30.0,29.0,f,chimpanzee,1.0,3,weight,,,1.0,1.0,4.0,2.0,54,5,4,,,
hanus2011chimpanzee,2,exchange_test,2010,10,6,dorien,30.0,29.0,f,chimpanzee,1.0,4,weight,,,1.0,1.0,3.0,3.0,543,5,4,3,,
hanus2011chimpanzee,2,exchange_test,2010,10,7,dorien,30.0,29.0,f,chimpanzee,2.0,5,weight,,,1.0,1.0,1.0,5.0,43521,4,3,5,2,1
hanus2011chimpanzee,2,exchange_test,2010,10,7,dorien,30.0,29.0,f,chimpanzee,2.0,6,weight,,,1.0,1.0,4.0,2.0,34,3,4,,,
hanus2011chimpanzee,2,exchange_test,2010,10,7,dorien,30.0,29.0,f,chimpanzee,2.0,7,weight,,,1.0,1.0,1.0,5.0,54321,5,4,3,2,1
hanus2011chimpanzee,2,exchange_test,2010,10,7,dorien,30.0,29.0,f,chimpanzee,2.0,8,weight,,,1.0,1.0,5.0,1.0,5,5,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,8,dorien,30.0,29.0,f,chimpanzee,3.0,9,weight,,,1.0,1.0,3.0,2.0,43,4,3,,,
hanus2011chimpanzee,2,exchange_test,2010,10,8,dorien,30.0,29.0,f,chimpanzee,3.0,10,weight,,,1.0,1.0,4.0,3.0,354,3,5,4,,
hanus2011chimpanzee,2,exchange_test,2010,10,8,dorien,30.0,29.0,f,chimpanzee,3.0,11,weight,,,1.0,1.0,3.0,5.0,52143,5,2,1,4,3
hanus2011chimpanzee,2,exchange_test,2010,10,8,dorien,30.0,29.0,f,chimpanzee,3.0,12,weight,,,1.0,1.0,1.0,1.0,34521,3,4,5,2,1
hanus2011chimpanzee,2,exchange_test,2010,10,12,dorien,30.0,29.0,f,chimpanzee,4.0,13,weight,,,1.0,1.0,2.0,3.0,432,4,3,2,,
hanus2011chimpanzee,2,exchange_test,2010,10,12,dorien,30.0,29.0,f,chimpanzee,4.0,14,weight,,,1.0,1.0,5.0,5.0,34215,3,4,2,1,5
hanus2011chimpanzee,2,exchange_test,2010,10,12,dorien,30.0,29.0,f,chimpanzee,4.0,15,weight,,,1.0,1.0,2.0,5.0,51432,5,1,4,3,2
hanus2011chimpanzee,2,exchange_test,2010,10,12,dorien,30.0,29.0,f,chimpanzee,4.0,16,weight,,,1.0,1.0,4.0,3.0,354,3,5,4,,
hanus2011chimpanzee,2,exchange_test,2010,10,13,dorien,30.0,29.0,f,chimpanzee,5.0,17,weight,,,1.0,1.0,5.0,3.0,345,3,4,5,,
hanus2011chimpanzee,2,exchange_test,2010,10,13,dorien,30.0,29.0,f,chimpanzee,5.0,18,weight,,,1.0,1.0,3.0,5.0,54321,5,4,3,2,1
hanus2011chimpanzee,2,exchange_test,2010,10,13,dorien,30.0,29.0,f,chimpanzee,5.0,19,weight,,,1.0,1.0,1.0,2.0,32,3,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,13,dorien,30.0,29.0,f,chimpanzee,5.0,20,weight,,,1.0,1.0,2.0,2.0,43,4,3,,,
hanus2011chimpanzee,2,exchange_test,2010,10,14,dorien,30.0,29.0,f,chimpanzee,6.0,21,weight,,,1.0,1.0,3.0,2.0,43,4,3,,,
