study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,duration_of_proximity_to_experimenter,freq_of_quasi-aggressive_acts
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,4.0,1.0,2.0,115.48,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,4.0,2.0,2.0,0.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,4.0,3.0,2.0,94.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,5.0,1.0,2.0,108.84,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,5.0,2.0,2.0,59.92,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,5.0,3.0,2.0,104.04,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,6.0,1.0,2.0,112.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,6.0,2.0,2.0,60.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,6.0,3.0,2.0,111.48,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,1.0,34.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,1.0,2.0,1.0,32.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,1.0,3.0,1.0,24.72,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,2.0,1.0,1.0,,
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,2.0,2.0,1.0,,
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,2.0,3.0,1.0,,
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,3.0,1.0,1.0,,
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,3.0,2.0,1.0,,
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,3.0,3.0,1.0,,
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,4.0,1.0,2.0,36.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,4.0,2.0,2.0,59.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,4.0,3.0,2.0,17.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,5.0,1.0,2.0,16.68,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,5.0,2.0,2.0,57.72,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,5.0,3.0,2.0,2.8,1.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,6.0,1.0,2.0,57.92,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,6.0,2.0,2.0,44.24,0.0
uher2008coherence,8,keeper_interaction_test,2005,robert,29.0,m,chimpanzee,6.0,3.0,2.0,19.68,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,1.0,2.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,1.0,2.0,1.0,56.44,0.0
