study_id,participant,sex,species,session,trial,order,automatic_gaze_value,gaze_behind_barriers_value
schmid2017great,jahaga,f,chimpanzee,3,6,unreliablefirst,1.0,0.0
schmid2017great,jahaga,f,chimpanzee,3,7,unreliablefirst,0.0,0.0
schmid2017great,jahaga,f,chimpanzee,3,8,unreliablefirst,1.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,1,unreliablefirst,1.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,2,unreliablefirst,0.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,3,unreliablefirst,1.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,4,unreliablefirst,1.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,5,unreliablefirst,0.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,6,unreliablefirst,1.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,7,unreliablefirst,0.0,0.0
schmid2017great,jahaga,f,chimpanzee,4,8,unreliablefirst,0.0,0.0
