study_id,experiment,experiment_name,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,all_trials,condition,pref,pref_side,decision,side,drop_out
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,3,10.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,4,10.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,1,10.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,2,10.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,3,10.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,4,10.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,5,10.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,6,10.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,2,7,10.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,2,8,10.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,2,9,10.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,2,10,10.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,2,11,10.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,2,12,10.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,1,11.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,2,11.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,3,11.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,4,11.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,1,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,2,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,3,11.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,4,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,5,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,1,6,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,2,7,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,2,8,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,2,9,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,2,10,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,2,11,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kofi,68.0,5.0,m,chimpanzee,a,2,12,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,1,12.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,2,12.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,3,12.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,4,12.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,1,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,2,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,3,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,4,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,5,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,1,6,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,2,7,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,2,8,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,2,9,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,2,10,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,2,11,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kuno,172.0,14.0,m,bonobo,,2,12,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,lobo,83.0,6.0,m,chimpanzee,a,1,1,12.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,lobo,83.0,6.0,m,chimpanzee,a,1,2,12.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,lobo,83.0,6.0,m,chimpanzee,a,1,3,12.0,pretest,banana,right,,,
