study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,dyad,species,day,white,brown
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,4.0,12.0,1.0
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,4.0,9.0,16.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,4.0,,1.0
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,4.0,,1.0
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,4.0,,7.0
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,4.0,,
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,4.0,1.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,4.0,,
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,4.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,4.0,,
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,5.0,5.0,7.0
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,5.0,5.0,47.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,5.0,,13.0
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,5.0,1.0,3.0
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,5.0,,2.0
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,5.0,,
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,5.0,2.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,5.0,,
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,5.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,5.0,,
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,6.0,26.0,5.0
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,6.0,3.0,11.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,6.0,,3.0
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,6.0,3.0,8.0
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,6.0,,5.0
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,6.0,2.0,
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,6.0,8.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,6.0,,
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,6.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,6.0,,
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,7.0,23.0,2.0
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,7.0,6.0,19.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,7.0,,12.0
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,7.0,4.0,13.0
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,7.0,2.0,2.0
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,7.0,2.0,1.0
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,7.0,18.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,7.0,,6.0
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,7.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,7.0,,
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,8.0,8.0,2.0
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,8.0,3.0,8.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,8.0,,
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,8.0,2.0,6.0
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,8.0,,1.0
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,8.0,,1.0
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,8.0,4.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,8.0,,
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,8.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,8.0,,
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,9.0,2.0,
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,9.0,3.0,4.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,9.0,,
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,9.0,4.0,1.0
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,9.0,8.0,
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,9.0,2.0,
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,9.0,3.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,9.0,,
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,9.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,9.0,,
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,10.0,8.0,3.0
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,10.0,1.0,4.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,10.0,,
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,10.0,,2.0
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,10.0,1.0,4.0
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,10.0,,2.0
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,10.0,,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,10.0,,
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,10.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,10.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,1.0,9.0,
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,1.0,,
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,1.0,1.0,1.0
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,1.0,,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,1.0,,
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,1.0,,
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,1.0,1.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,1.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,1.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,1.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,2.0,6.0,3.0
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,2.0,,5.0
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,2.0,,4.0
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,2.0,,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,2.0,,
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,2.0,,
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,2.0,1.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,2.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,2.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,2.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,3.0,38.0,2.0
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,3.0,11.0,11.0
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,3.0,,22.0
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,3.0,,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,3.0,,1.0
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,3.0,1.0,2.0
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,3.0,4.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,3.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,3.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,3.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,4.0,9.0,1.0
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,4.0,,4.0
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,4.0,,5.0
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,4.0,,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,4.0,,1.0
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,4.0,,
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,4.0,2.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,4.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,4.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,4.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,5.0,6.0,2.0
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,5.0,1.0,13.0
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,5.0,,19.0
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,5.0,,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,5.0,,
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,5.0,,
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,5.0,1.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,5.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,5.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,5.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,6.0,1.0,
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,6.0,,
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,6.0,,4.0
