study_id,experiment,participant,age_in_years,sex,species,session,trial,condition,correct_side,correct_side_1,chosen_side,order_block,order_block2,session_within_block,block,side_with_food_image
volter2018intuitive,4,bimbo,34,m,orangutan,7,73,congruent,r,1.0,r,image_first,2.0,3.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,74,incongruent,l,1.0,l,image_first,2.0,3.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,75,congruent,l,1.0,l,image_first,2.0,3.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,76,incongruent,r,1.0,r,image_first,2.0,3.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,77,incongruent,l,0.0,r,image_first,2.0,3.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,78,congruent,r,0.0,l,image_first,2.0,3.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,79,congruent,l,0.0,r,image_first,2.0,3.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,80,incongruent,r,1.0,r,image_first,2.0,3.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,81,congruent,r,1.0,r,image_first,2.0,3.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,82,incongruent,r,1.0,r,image_first,2.0,3.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,83,incongruent,l,0.0,r,image_first,2.0,3.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,7,84,congruent,l,1.0,l,image_first,2.0,3.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,85,incongruent,r,0.0,l,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,86,incongruent,l,0.0,r,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,87,congruent,r,0.0,l,image_first,2.0,4.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,88,congruent,l,0.0,r,image_first,2.0,4.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,89,incongruent,r,0.0,l,image_first,2.0,4.0,mirror,1.0
