study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,correct_side,first_response,chosen_side,distance,visibility,baited_side,touch_occluder_at_correct_side
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,27,close_opaque,1,0.0,l,close,op,l,0.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,28,close_opaque,1,1.0,r,close,op,r,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,29,dis_clear,1,1.0,l,dis,clear,l,0.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,30,dis_clear,1,1.0,r,dis,clear,r,0.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,31,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,32,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,33,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,34,dis_op,1,0.0,r,dis,op,r,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,35,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,3,36,close_opaque,1,1.0,r,close,op,r,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,4,37,dis_clear,1,0.0,l,dis,clear,l,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,4,38,dis_clear,1,1.0,r,dis,clear,r,0.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,4,39,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,4,40,close_clear,1,0.0,l,close,clear,l,0.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,4,41,dis_op,0,0.0,r,dis,op,l,
volter2018intuitive,3,raja,11,f,orangutan,mirror,4,42,dis_op,1,0.0,r,dis,op,r,1.0
volter2018intuitive,3,raja,11,f,orangutan,mirror,4,43,close_opaque,0,0.0,r,close,op,l,
