study_id,year,month,day,participant,age_in_years,sex,species,session,trial,apparatus,start_time,end_time,finger,lift,shoot,success_action
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,9,3,"8'16""","8'22""",0,0,2,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,10,3,"8'40""","9'03""",0,0,10,shoot
manrique2013repeated,2009,9,7,alexandra,10,f,chimpanzee,2,11,3,"0'11""","10'02""",6,11,14,no_success
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,11,3,"0'02""","0'05""",0,0,2,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,12,3,"0'46""","0'41""",0,0,3,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,13,3,"1'26""","1'42""",0,0,6,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,14,3,"1'59""","2'20""",0,0,16,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,15,3,"2'43""","2'53""",0,0,12,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,16,3,"3'17""","3'27""",0,0,9,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,17,3,"3'45""","4'16""",0,1,2,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,18,3,"4'32""","4'40""",0,0,5,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,19,3,"4'58""",5',0,0,2,shoot
manrique2013repeated,2009,9,8,alexandra,10,f,chimpanzee,3,20,3,"5'17""","5'37""",0,1,9,shoot
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,1,1,0,"0'18""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,2,1,"1'02""","1'15""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,3,1,"1'32""","1'46""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,4,1,"1'59""","2'09""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,5,1,"2'20""","2'30""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,6,1,2'42,"2'57""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,7,1,"3'12""","3'21""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,8,1,"3'30""","3'51""",2,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,9,1,"4'06""","4'22""",1,0,0,finger
manrique2013repeated,2009,08,31,fifi,16,f,chimpanzee,1,10,1,"4'35""","4'42""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,11,1,"0'26""","0'40""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,12,1,"0'56""","1'11""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,13,1,"1'24""","1'29""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,14,1,"1'37""","1'41""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,15,1,"1'53""","2'14""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,16,1,"2'23""","2'29""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,17,1,"2'43""","2'46""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,18,1,"2'54""","2'59""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,19,1,"3'10""","3'12""",1,0,0,finger
manrique2013repeated,2009,9,1,fifi,16,f,chimpanzee,2,20,1,"3'23""","3'29""",1,0,0,finger
manrique2013repeated,2009,9,2,fifi,16,f,chimpanzee,1,1,2,"0'15""","10'03""",6,0,0,no_success
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,1,2,"0'21""","2'56""",4,1,4,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,2,2,"3'18""","3'26""",0,1,0,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,3,2,"3'43""","4'05""",0,2,0,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,4,2,"4'25""","4'33""",0,1,0,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,5,2,"4'46""","4'56""",0,1,0,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,6,2,"5'09""","5'14""",0,1,0,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,7,2,"5'31""","5'37""",0,1,0,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,8,2,"5'57""","5'37""",0,1,1,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,9,2,"6'35""","6'41""",0,1,0,lift
manrique2013repeated,2009,9,3,fifi,16,f,chimpanzee,2,10,2,"7'06""","7'17""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,11,2,"0'21""","0'30""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,12,2,"1'10""","1'16""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,13,2,"1'27""","1'33""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,14,2,"1'45""","1'55""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,15,2,"2'13""","2'28""",0,2,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,16,2,"2'48""","2'57""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,17,2,"3'12""","3'22""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,18,2,"3'42""","3'51""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,19,2,"4'08""","4'15""",0,1,0,lift
manrique2013repeated,2009,9,4,fifi,16,f,chimpanzee,3,20,2,"4'36""","4'47""",0,1,0,lift
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,1,3,"0'15""","0'24""",0,1,5,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,2,3,"1'50""","1'54""",0,0,3,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,3,3,"2'31""","3'32""",0,1,29,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,4,3,"4'39""","4'49""",0,1,9,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,5,3,"5'21""","5'28""",0,0,4,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,6,3,"5'55""","6'05""",0,0,3,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,7,3,"7'03""","7'14""",0,0,9,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,8,3,"7'33""","7'36""",0,0,2,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,9,3,"7'52""","7'55""",0,0,2,shoot
manrique2013repeated,2009,9,5,fifi,16,f,chimpanzee,1,10,3,"8'17""","8'21""",0,0,2,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,11,3,"0'10""","0'28""",0,0,17,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,12,3,"1'19""","1'29""",0,1,7,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,13,3,"2'11""","2'17""",0,0,4,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,14,3,"2'31""","2'55""",0,1,15,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,15,3,"3'05""","3'08""",0,0,2,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,16,3,"3'19""","3'21""",0,0,2,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,17,3,"3'31""","3'34""",0,0,2,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,18,3,"3'44""","3'47""",0,0,2,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,19,3,"4'05""","4'09""",0,0,3,shoot
manrique2013repeated,2009,9,6,fifi,16,f,chimpanzee,3,20,3,"4'17""","4'20""",0,0,3,shoot
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,1,1,"0'12""","0'36""",2,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,2,1,"1'56""",2',1,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,3,1,"2'18""","2'49""",2,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,4,1,"3'01""","3'24""",2,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,5,1,"3'36""","3'41""",1,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,6,1,"4'08""","4'15""",1,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,7,1,"4'26""","4'38""",1,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,8,1,"4'51""","4'57""",1,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,9,1,"5'06""","5'15""",1,0,0,finger
manrique2013repeated,2009,08,31,jahaga,16,f,chimpanzee,1,10,1,"5'27""","5'31""",1,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,11,1,"0'07""","0'46""",4,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,12,1,"1'02""","1'09""",1,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,13,1,"1'17""","2'30""",6,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,14,1,"2'38""","2'49""",2,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,15,1,"2'55""","3'01""",2,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,16,1,"3'15""","3'35""",2,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,17,1,"3'42""","3'51""",1,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,18,1,"4'02""","4'08""",1,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,19,1,"4'21""","4'26""",1,0,0,finger
manrique2013repeated,2009,9,1,jahaga,16,f,chimpanzee,2,20,1,"4'33""","4'44""",1,0,0,finger
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,1,2,"0'18""","3'22""",11,2,1,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,2,2,"3'32""","3'36""",0,1,0,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,3,2,"3'47""","4'32""",0,1,0,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,4,2,"4'38""","5'36""",0,4,0,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,5,2,"5'53""","6'08""",0,2,0,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,6,2,"6'23""","6'51""",0,1,0,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,7,2,"6'59""","7'11""",0,1,0,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,8,2,"7'20""","7'26""",0,1,0,lift
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,9,2,"7'35""","7'54""",0,1,0,lift
