"study_id","experiment_name","year","month","day","participant","age_original","age_in_years","sex","species","species_subgroup","session","trial","condition","app_left","app_right","side_indicated","cho2","code2"
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,10,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,11,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,1,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,2,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,3,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,4,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,5,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,6,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,7,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,8,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,9,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,10,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,11,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,5,"fraukje",36.5,36,"f","chimpanzee","a",8,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,2,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,3,"arbitrary","b","a","r","l",0
