study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,ls_or_lm_trial,1st_amount_chosen,2nd_amount_chosen,1st_choice_container,2nd_choice_container
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,6.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,7.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,8.0,no-transfer-8-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,9.0,no_testing_trial,no_trial_type,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,10.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,11.0,4-cup,lm_trial,smaller_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,12.0,no-transfer-8-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,13.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,14.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,15.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,16.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,17.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,18.0,8-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,19.0,no_testing_trial,no_trial_type,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,20.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,1.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,2.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,3.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,4.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,5.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,6.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,7.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,8.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,9.0,no-transfer-4-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,10.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,11.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,12.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,13.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,14.0,no-transfer-4-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,15.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,16.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,17.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,18.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,19.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,14,fraukje,25.0,f,chimpanzee,1,20.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,1.0,4-cup,ls_trial,smaller_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,2.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,3.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,4.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,5.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,6.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,7.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
