study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,lc_or_lt_trial,1st_amount_chosen,2nd_amount_chosen,2nd_choice_container,2nd_choice_side,2nd_choice_hesitation
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,6.0,opaque-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,7.0,clear-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,8.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,9.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,10.0,opaque-same,no_trial_type,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,1.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,2.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,3.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,4.0,clear-different,lt_trial,larger_quantity,smaller_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,5.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,6.0,opaque-different,lt_trial,larger_quantity,smaller_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,7.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,8.0,opaque-same,no_trial_type,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,9.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,01,joey,19.0,m,bonobo,9,10.0,clear-different,lc_trial,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,1.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,2.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,3.0,clear-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,4.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,5.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,6.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,7.0,opaque-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,8.0,opaque-same,no_trial_type,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,9.0,clear-different,lc_trial,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,04,joey,19.0,m,bonobo,10,10.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,1.0,opaque-different,lt_trial,larger_quantity,smaller_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,2.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,3.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,4.0,clear-different,lt_trial,larger_quantity,smaller_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,5.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,6.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,7.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,8.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,9.0,clear-different,lc_trial,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,05,joey,19.0,m,bonobo,11,10.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,1.0,clear-different,lc_trial,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,2.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,3.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,4.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,5.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,6.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,7.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,8.0,clear-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,9.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,02,06,joey,19.0,m,bonobo,12,10.0,opaque-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,1.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,2.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,3.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,4.0,clear-different,lt_trial,larger_quantity,larger_quantity,tube,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,5.0,opaque-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,6.0,opaque-same,no_trial_type,larger_quantity,smaller_quantity,cup,right,hesitation
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,7.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,22,kuno,5.0,m,bonobo,1,8.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
