study_id,experiment,participant,age_in_years,sex,species,number_trials,lop,num_levels,order,configuration_id,repetition,t1_planning,t1_success,change_direction,sum_nonplan_error_lev1,sum_planning_errors,sum_non_planning_errors
volter2014younger,2,kofi,6,m,chimpanzee,1,2,2,20,20,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,2,2,21,17,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,22,9,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,4,2,2,23,20,2,0,0,1.0,0.0,3.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,24,12,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,1,8,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,6,1,2,2,15,1,0,0,1.0,0.0,3.0,2.0
volter2014younger,2,kuno,14,m,bonobo,5,2,2,3,18,1,0,0,0.0,0.0,4.0,0.0
volter2014younger,2,kuno,14,m,bonobo,4,1,2,4,12,1,0,0,2.0,0.0,2.0,1.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,5,3,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,6,10,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,1,2,7,16,1,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,2,2,8,22,1,1,0,1.0,0.0,0.0,1.0
volter2014younger,2,kuno,14,m,bonobo,8,0,3,9,6,1,0,0,1.0,5.0,0.0,7.0
volter2014younger,2,kuno,14,m,bonobo,4,2,2,10,23,1,0,0,2.0,0.0,1.0,2.0
volter2014younger,2,kuno,14,m,bonobo,2,1,2,11,13,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,4,2,2,12,21,1,1,0,1.0,0.0,3.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,0,3,13,1,1,0,0,0.0,1.0,0.0,1.0
volter2014younger,2,kuno,14,m,bonobo,6,2,2,14,17,1,0,0,2.0,0.0,2.0,3.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,15,9,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,2,2,16,24,1,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,5,2,2,17,20,1,0,0,1.0,0.0,2.0,2.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,18,5,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,11,2,2,19,19,1,1,0,1.0,0.0,5.0,5.0
volter2014younger,2,kuno,14,m,bonobo,3,0,3,20,7,1,1,0,2.0,0.0,0.0,2.0
volter2014younger,2,kuno,14,m,bonobo,2,1,2,21,11,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,22,4,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,23,14,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,24,2,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,1,2,1,13,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,2,1,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,2,2,3,23,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,5,1,2,4,12,2,1,0,2.0,0.0,3.0,1.0
volter2014younger,2,kuno,14,m,bonobo,2,2,2,5,24,2,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,6,3,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,2,2,7,20,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,6,2,2,8,21,2,0,0,1.0,0.0,2.0,3.0
volter2014younger,2,kuno,14,m,bonobo,3,0,3,9,2,2,0,0,1.0,2.0,0.0,2.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,10,16,2,1,1,0.0,0.0,0.0,0.0
