study_id,experiment,participant,age_in_years,sex,species,number_trials,condition,lop,num_levels,changes_direction,order,new_order,configuration_id,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014younger,1,kibara,7,f,gorilla,5,clear,2,2,1.0,11,11.0,21,1,1,0,4.0,1.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,1,1,1.0,12,12.0,11,1,0,0,4.0,13.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,1,1,0.0,13,13.0,9,1,1,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,4,clear,2,1,0.0,14,14.0,17,1,1,0,4.0,0.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,0,2,0.0,15,15.0,4,1,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,1,2,0.0,16,16.0,15,1,0,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,5,clear,1,2,0.0,17,17.0,14,1,0,0,4.0,1.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,0,2,0.0,18,18.0,1,1,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,0,2,0.0,19,19.0,6,1,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,14,clear,2,2,0.0,20,20.0,22,1,0,0,4.0,10.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,1,1,0.0,21,21.0,12,1,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,7,clear,2,1,1.0,22,22.0,18,1,0,0,4.0,3.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,1,2,1.0,23,23.0,16,1,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,0,2,1.0,24,24.0,5,1,0,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,0,2,1.0,25,1.0,2,2,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,8,clear,2,2,0.0,26,2.0,23,2,1,0,4.0,4.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,0,2,1.0,27,3.0,5,2,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,2,1,0.0,28,4.0,17,2,0,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,1,1,0.0,29,5.0,9,2,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,2,1,0.0,30,6.0,20,2,0,0,4.0,13.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,1,1,0.0,31,7.0,12,2,0,0,4.0,13.0
volter2014younger,1,kibara,7,f,gorilla,10,clear,1,1,1.0,32,8.0,11,2,0,0,4.0,6.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,0,2,0.0,33,9.0,1,2,0,0,4.0,13.0
volter2014younger,1,kibara,7,f,gorilla,15,clear,1,2,0.0,34,10.0,15,2,0,0,4.0,11.0
