study_id,experiment,experiment_name,participant,sex,species,session,trial_number,trial_type,location,reward,reward_codes
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,11.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,12.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,1.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,2.0,base,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,3.0,exp,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,4.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,5.0,exp,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,6.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,7.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,8.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,9.0,exp,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,10.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,11.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,5,12.0,exp,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,2.0,exp,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,3.0,base,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,4.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,5.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,6.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,7.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,8.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,9.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,10.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,11.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,6,12.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,1.0,exp,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,2.0,base,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,3.0,con,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,4.0,con,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,5.0,exp,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,6.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,7.0,base,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,8.0,con,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,9.0,exp,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,10.0,base,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,11.0,exp,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,7,12.0,con,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,1.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,2.0,base,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,3.0,con,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,4.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,5.0,con,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,6.0,base,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,7.0,con,l,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,8.0,base,r,1.0,correct
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,9.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,fifi,f,chimpanzee,8,10.0,exp,l,0.0,incorrect
