study_id,experiment,publication_status,participant,age_in_years,sex,species,phase,session,trial,order_condition,demonstration,order_a,first_response,first_response_side,blicket_object,first_response_correct,second_response,second_response_side,ac_side,second_response_correct
volter2016great,5,unpublished,sandra,21,f,chimpanzee,training,1.0,2,,intervention,,/,, a_d_b_c,,,,left,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,training,2.0,2,,intervention,,0,, a_d_b_c,,0.0,,left,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,training,3.0,3,,intervention,,1,, b_c_d_a,,,,right,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,training,3.0,4,,intervention,,1,, a_d_b_c,,,,left,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,test,4.0,5,bb_first,intervention,bfirst,/,, c_d_a_b,,,,right,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,test,5.0,5,bb_first,intervention,bfirst,/,, c_d_a_b,,,,right,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,test,6.0,5,bb_first,intervention,bfirst,0,, c_d_a_b,,,,right,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,test,7.0,6,bb_first,intervention,bfirst,1,, d_c_a_b,,,,right,
volter2016great,5,unpublished,tai,12,f,chimpanzee,training,1.0,1,,intervention,,0,, a_c_d_b,,1.0,,left,
volter2016great,5,unpublished,tai,12,f,chimpanzee,training,1.0,2,,intervention,,0,, c_d_b_a,,0.0,,right,
volter2016great,5,unpublished,tai,12,f,chimpanzee,training,2.0,3,,intervention,,1,, a_c_d_b,,,,left,
volter2016great,5,unpublished,tai,12,f,chimpanzee,training,2.0,4,,intervention,,1,, c_d_b_a,,,,right,
volter2016great,5,unpublished,tai,12,f,chimpanzee,test,3.0,5,bb_first,intervention,bfirst,1,, b_c_d_a,,,,right,
volter2016great,5,unpublished,tai,12,f,chimpanzee,test,4.0,6,bb_first,intervention,bfirst,/,,a_b_c_d,,,,right,
volter2016great,5,unpublished,tai,12,f,chimpanzee,test,5.0,6,bb_first,intervention,bfirst,0,,a_b_c_d,,,,right,
volter2016great,5,unpublished,bimbo,34,m,orangutan,training,1.0,1,,intervention,,0,, b_a_c_d,,0.0,,left,
volter2016great,5,unpublished,bimbo,34,m,orangutan,training,1.0,2,,intervention,,1,,a_b_c_d,,,,right,
volter2016great,5,unpublished,bimbo,34,m,orangutan,training,2.0,3,,intervention,,0,, b_a_c_d,,1.0,,left,
volter2016great,5,unpublished,bimbo,34,m,orangutan,training,2.0,4,,intervention,,1,,a_b_c_d,,,,right,
volter2016great,5,unpublished,bimbo,34,m,orangutan,test,3.0,5,is_first,intervention,afirst,0,, d_c_a_b,,,,left,
volter2016great,5,unpublished,bimbo,34,m,orangutan,test,4.0,6,is_first,intervention,afirst,1,, c_d_a_b,,,,left,
volter2016great,5,unpublished,dokana,26,f,orangutan,training,1.0,1,,intervention,,/,, b_a_d_c,,,,left,
volter2016great,5,unpublished,dokana,26,f,orangutan,training,2.0,1,,intervention,,0,, b_a_d_c,,0.0,,left,
