study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_left_codes,food_on_right,food_on_right_codes,choice,choice_codes,success
call2004inferences,4,vimoto,6.0,m,gorilla,16.0,3.0,no,stirred_empty,yes,stirred_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,17.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,18.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,19.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,20.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,21.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,22.0,2.0,no,shaken_empty,yes,stirred_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,23.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,24.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,25.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,26.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,27.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,28.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,29.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,30.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,31.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,32.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,33.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,34.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,35.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,36.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,37.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,38.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,39.0,2.0,yes,stirred_baited,no,shaken_empty,2.0,left,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,40.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,41.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,42.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,43.0,2.0,yes,stirred_baited,no,shaken_empty,2.0,left,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,44.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,45.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,46.0,2.0,yes,stirred_baited,no,shaken_empty,2.0,left,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,47.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,48.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,viringika,6.0,f,gorilla,1.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,2.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,3.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,4.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,5.0,1.0,no,stirred_empty,yes,shaken_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,6.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,7.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,8.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,9.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,10.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,11.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,12.0,2.0,no,shaken_empty,yes,stirred_baited,2.0,left,1.0
call2004inferences,4,viringika,6.0,f,gorilla,13.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,14.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,viringika,6.0,f,gorilla,15.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,viringika,6.0,f,gorilla,16.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,17.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,18.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,19.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,20.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,21.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,22.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,viringika,6.0,f,gorilla,23.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,24.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,25.0,1.0,no,stirred_empty,yes,shaken_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,26.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,27.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,28.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,29.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,30.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,31.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
