study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,6,n’diki,24.0,f,gorilla,10.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,11.0,control,no,yes,1.0,right,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,12.0,control,yes,no,2.0,left,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,13.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,14.0,control,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,15.0,control,no,yes,1.0,right,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,16.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,17.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,18.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,19.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,20.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,21.0,control,no,yes,1.0,right,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,22.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,23.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,24.0,control,yes,no,2.0,left,0.0
