study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,yawn_baseline,yawn_experimental,nosewipe_baseline,nosewipe_experimental,scratch_baseline,scratch_experimental,wristshake_baseline,wristshake_experimental,handclose_baseline,handclose_experimental
amici2014response,1,task_1_imitation_1_human,2006,1,20,annett,6,f,chimpanzee,wrist_shaking,0.0,0.0,12.0,34.0,0.0,5.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,16,annett,6,f,chimpanzee,wrist_shaking,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,16,annett,6,f,chimpanzee,yawning,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,13,annett,6,f,chimpanzee,yawning,0.0,0.0,9.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,8,dorien,25,f,chimpanzee,hand_closing,0.0,0.0,4.0,15.0,1.0,5.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,8,dorien,25,f,chimpanzee,hand_closing,0.0,0.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,dorien,25,f,chimpanzee,nose_wiping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,dorien,25,f,chimpanzee,nose_wiping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,dorien,25,f,chimpanzee,scratching,0.0,0.0,7.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,dorien,25,f,chimpanzee,scratching,0.0,0.0,8.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,dorien,25,f,chimpanzee,wrist_shaking,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,dorien,25,f,chimpanzee,wrist_shaking,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,dorien,25,f,chimpanzee,yawning,0.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,dorien,25,f,chimpanzee,yawning,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,22,fifi,12,f,chimpanzee,hand_closing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,22,fifi,12,f,chimpanzee,hand_closing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,fifi,12,f,chimpanzee,nose_wiping,0.0,0.0,7.0,3.0,9.0,10.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,fifi,12,f,chimpanzee,nose_wiping,0.0,0.0,8.0,3.0,15.0,14.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,fifi,12,f,chimpanzee,scratching,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
