study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,condition,yawn_pre,yawn_video,yawn_post,nosewipe_pre,nosewipe_video,nosewipe_post,scratch_pre,scratch_video,scratch_post
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,n’diki,27,f,gorilla,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,0,1,7
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,n’diki,27,f,gorilla,2.0,2.0,scratching,0,0,0.0,0,1,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,19,n’diki,27,f,gorilla,2.0,2.0,yawning,0,0,0.0,0,0,0,5,5,9
amici2014response,2,task_2_imitation_1b_ape,2006,3,21,ruby_b'windi,8,f,gorilla,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,21,ruby_b'windi,8,f,gorilla,1.0,1.0,scratching,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,21,ruby_b'windi,8,f,gorilla,1.0,1.0,yawning,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,21,ruby_b'windi,8,f,gorilla,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,21,ruby_b'windi,8,f,gorilla,2.0,2.0,scratching,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,21,ruby_b'windi,8,f,gorilla,2.0,2.0,yawning,0,0,0.0,0,0,0,0,0,5
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,viringika,11,f,gorilla,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,viringika,11,f,gorilla,1.0,1.0,scratching,0,0,0.0,0,0,0,2,3,2
amici2014response,2,task_2_imitation_1b_ape,2006,3,19,viringika,10,f,gorilla,1.0,1.0,yawning,0,0,0.0,0,0,0,0,0,3
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,viringika,11,f,gorilla,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,5,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,viringika,11,f,gorilla,2.0,2.0,scratching,0,0,0.0,0,0,0,0,0,2
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,viringika,11,f,gorilla,2.0,2.0,yawning,0,0,0.0,0,0,0,4,0,2
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,bimbo,25,m,orangutan,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,0,0,3
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,bimbo,25,m,orangutan,1.0,1.0,scratching,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,bimbo,25,m,orangutan,1.0,1.0,yawning,0,0,0.0,0,0,0,1,12,13
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,bimbo,25,m,orangutan,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,bimbo,25,m,orangutan,2.0,2.0,scratching,0,0,0.0,0,0,0,0,0,6
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,bimbo,25,m,orangutan,2.0,2.0,yawning,0,0,0.0,0,1,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,dokana,17,f,orangutan,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,41,66,79
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,dokana,17,f,orangutan,1.0,1.0,scratching,0,0,0.0,0,0,0,21,36,4
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,dokana,17,f,orangutan,1.0,1.0,yawning,1,0,0.0,0,0,1,80,30,29
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,dokana,17,f,orangutan,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,6,26,3
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,dokana,17,f,orangutan,2.0,2.0,scratching,0,0,0.0,0,0,0,7,14,30
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,dokana,17,f,orangutan,2.0,2.0,yawning,0,0,0.0,1,0,0,60,0,9
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,dunja,32,f,orangutan,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,dunja,32,f,orangutan,1.0,1.0,scratching,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,dunja,32,f,orangutan,1.0,1.0,yawning,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,dunja,32,f,orangutan,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,dunja,32,f,orangutan,2.0,2.0,scratching,0,0,0.0,0,0,0,0,2,1
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,dunja,32,f,orangutan,2.0,2.0,yawning,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,pini,17,f,orangutan,1.0,1.0,nose_wiping,0,0,0.0,0,2,0,0,6,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,pini,17,f,orangutan,1.0,1.0,scratching,0,0,0.0,0,1,0,0,1,1
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,pini,17,f,orangutan,1.0,1.0,yawning,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,16,pini,17,f,orangutan,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,17,pini,17,f,orangutan,2.0,2.0,scratching,0,0,0.0,0,0,2,1,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,15,pini,17,f,orangutan,2.0,2.0,yawning,0,0,0.0,1,1,0,1,0,0
