study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,t1_planning,t1_success,order_condition,sum_planning_errors,sum_non_planning_errors,sum_nonplan_error_lev1,non_planning_errors_level1_t1
volter2014cognitive,4,19,fifi,18,f,chimpanzee,clear,1,10,2,1,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,2,fifi,18,f,chimpanzee,clear,1,11,0,2,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,18,fifi,18,f,chimpanzee,clear,1,12,2,1,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,14,fifi,18,f,chimpanzee,clear,2,13,1,2,0,0,0,3.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,8,fifi,18,f,chimpanzee,clear,1,14,0,2,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,23,fifi,18,f,chimpanzee,clear,1,15,2,2,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,3,fifi,18,f,chimpanzee,clear,2,16,0,2,1,0,0,3.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,10,fifi,18,f,chimpanzee,clear,2,17,1,1,1,0,0,3.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,1,fifi,18,f,chimpanzee,clear,1,18,0,2,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,21,fifi,18,f,chimpanzee,clear,2,19,2,2,1,0,0,3.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,20,fifi,18,f,chimpanzee,clear,1,20,2,1,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,6,fifi,18,f,chimpanzee,clear,1,21,0,2,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,12,fifi,18,f,chimpanzee,clear,3,22,1,1,0,0,0,3.0,2.0,0.0,0.0,0.0
volter2014cognitive,4,5,fifi,18,f,chimpanzee,clear,2,23,0,2,1,0,0,3.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,4,fifi,18,f,chimpanzee,clear,1,24,0,2,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,19,kofi,6,m,chimpanzee,opaque,2,1,2,1,1,1,0,1.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,11,kofi,6,m,chimpanzee,opaque,1,2,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,2,kofi,6,m,chimpanzee,opaque,1,3,0,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,4,kofi,6,m,chimpanzee,opaque,6,4,0,2,0,0,0,1.0,0.0,5.0,3.0,1.0
volter2014cognitive,4,13,kofi,6,m,chimpanzee,opaque,3,5,1,2,1,0,0,1.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,8,kofi,6,m,chimpanzee,opaque,1,6,0,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,3,kofi,6,m,chimpanzee,opaque,5,7,0,2,1,0,0,1.0,0.0,4.0,2.0,1.0
volter2014cognitive,4,24,kofi,6,m,chimpanzee,opaque,1,8,2,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,9,kofi,6,m,chimpanzee,opaque,2,9,1,1,0,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,10,kofi,6,m,chimpanzee,opaque,9,10,1,1,1,0,0,1.0,4.0,4.0,0.0,0.0
