study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014cognitive,3,8,dorien,30,f,chimpanzee,opaquecued,8,2,0,2,0,1.0,1,0,4.0,4.0
volter2014cognitive,3,20,dorien,30,f,chimpanzee,opaquecued,17,3,2,1,0,1.0,0,0,4.0,13.0
volter2014cognitive,3,5,dorien,30,f,chimpanzee,opaquecued,12,4,0,2,1,1.0,0,0,4.0,8.0
volter2014cognitive,3,2,dorien,30,f,chimpanzee,opaquecued,8,5,0,2,1,1.0,1,0,4.0,4.0
volter2014cognitive,3,10,dorien,30,f,chimpanzee,opaquecued,8,6,1,1,1,1.0,0,0,4.0,4.0
volter2014cognitive,3,23,dorien,30,f,chimpanzee,opaquecued,17,7,2,2,0,1.0,0,0,4.0,13.0
volter2014cognitive,3,6,dorien,30,f,chimpanzee,opaquecued,7,8,0,2,0,1.0,0,0,4.0,3.0
volter2014cognitive,3,9,dorien,30,f,chimpanzee,opaquecued,2,9,1,1,0,1.0,0,0,4.0,-2.0
volter2014cognitive,3,22,dorien,30,f,chimpanzee,opaquecued,1,10,2,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,11,dorien,30,f,chimpanzee,opaquecued,17,11,1,1,1,1.0,0,0,4.0,13.0
volter2014cognitive,3,3,dorien,30,f,chimpanzee,opaquecued,2,12,0,2,1,1.0,1,0,4.0,-2.0
volter2014cognitive,3,4,dorien,30,f,chimpanzee,opaquecued,1,13,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,12,dorien,30,f,chimpanzee,opaquecued,17,14,1,1,0,1.0,0,0,4.0,13.0
volter2014cognitive,3,17,dorien,30,f,chimpanzee,opaquecued,1,15,2,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,16,dorien,30,f,chimpanzee,opaquecued,8,16,1,2,1,1.0,0,0,4.0,4.0
volter2014cognitive,3,21,dorien,30,f,chimpanzee,opaquecued,3,17,2,2,1,1.0,1,0,4.0,-1.0
volter2014cognitive,3,7,dorien,30,f,chimpanzee,opaquecued,2,18,0,2,1,1.0,1,0,4.0,-2.0
volter2014cognitive,3,18,dorien,30,f,chimpanzee,opaquecued,2,19,2,1,1,1.0,1,0,4.0,-2.0
volter2014cognitive,3,14,dorien,30,f,chimpanzee,opaquecued,2,20,1,2,0,1.0,1,0,4.0,-2.0
volter2014cognitive,3,19,dorien,30,f,chimpanzee,opaquecued,9,21,2,1,1,1.0,0,0,4.0,5.0
volter2014cognitive,3,1,dorien,30,f,chimpanzee,opaquecued,17,22,0,2,0,1.0,0,0,4.0,13.0
volter2014cognitive,3,24,dorien,30,f,chimpanzee,opaquecued,1,23,2,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,15,dorien,30,f,chimpanzee,opaquecued,1,24,1,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,5,dorien,30,f,chimpanzee,opaquecued,3,1,0,2,1,2.0,1,0,4.0,-1.0
volter2014cognitive,3,21,dorien,30,f,chimpanzee,opaquecued,4,2,2,2,1,2.0,1,0,4.0,0.0
volter2014cognitive,3,6,dorien,30,f,chimpanzee,opaquecued,12,3,0,2,0,2.0,0,0,4.0,8.0
volter2014cognitive,3,8,dorien,30,f,chimpanzee,opaquecued,1,4,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,17,dorien,30,f,chimpanzee,opaquecued,3,5,2,1,0,2.0,1,0,4.0,-1.0
volter2014cognitive,3,14,dorien,30,f,chimpanzee,opaquecued,2,6,1,2,0,2.0,1,0,4.0,-2.0
volter2014cognitive,3,19,dorien,30,f,chimpanzee,opaquecued,3,7,2,1,1,2.0,0,0,4.0,-1.0
volter2014cognitive,3,1,dorien,30,f,chimpanzee,opaquecued,8,8,0,2,0,2.0,0,0,4.0,4.0
volter2014cognitive,3,16,dorien,30,f,chimpanzee,opaquecued,3,9,1,2,1,2.0,0,0,4.0,-1.0
volter2014cognitive,3,18,dorien,30,f,chimpanzee,opaquecued,1,10,2,1,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,3,dorien,30,f,chimpanzee,opaquecued,2,11,0,2,1,2.0,1,0,4.0,-2.0
volter2014cognitive,3,7,dorien,30,f,chimpanzee,opaquecued,1,12,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,11,dorien,30,f,chimpanzee,opaquecued,5,13,1,1,1,2.0,0,0,4.0,1.0
volter2014cognitive,3,15,dorien,30,f,chimpanzee,opaquecued,8,14,1,2,0,2.0,0,0,4.0,4.0
volter2014cognitive,3,4,dorien,30,f,chimpanzee,opaquecued,1,15,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,10,dorien,30,f,chimpanzee,opaquecued,17,16,1,1,1,2.0,1,0,4.0,13.0
volter2014cognitive,3,13,dorien,30,f,chimpanzee,opaquecued,10,17,1,2,1,2.0,0,0,4.0,6.0
volter2014cognitive,3,2,dorien,30,f,chimpanzee,opaquecued,2,18,0,2,1,2.0,1,0,4.0,-2.0
volter2014cognitive,3,22,dorien,30,f,chimpanzee,opaquecued,7,19,2,2,0,2.0,1,0,4.0,3.0
volter2014cognitive,3,12,dorien,30,f,chimpanzee,opaquecued,5,20,1,1,0,2.0,1,0,4.0,1.0
volter2014cognitive,3,9,dorien,30,f,chimpanzee,opaquecued,7,21,1,1,0,2.0,0,0,4.0,3.0
volter2014cognitive,3,24,dorien,30,f,chimpanzee,opaquecued,1,22,2,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,23,dorien,30,f,chimpanzee,opaquecued,3,23,2,2,0,2.0,1,0,4.0,-1.0
