study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,repetition,t1_planning,t1_success,order_condition
volter2014cognitive,2,24,alex,10,m,chimpanzee,no_tool,1,10,2,2,1,1.0,1,1,1.0
volter2014cognitive,2,15,alex,10,m,chimpanzee,no_tool,1,11,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,3,alex,10,m,chimpanzee,no_tool,1,12,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,10,alex,10,m,chimpanzee,no_tool,1,13,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,4,alex,10,m,chimpanzee,no_tool,1,14,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,8,alex,10,m,chimpanzee,no_tool,1,15,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,21,alex,10,m,chimpanzee,no_tool,3,16,2,2,1,1.0,0,0,1.0
volter2014cognitive,2,9,alex,10,m,chimpanzee,no_tool,1,17,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,23,alex,10,m,chimpanzee,no_tool,1,18,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,7,alex,10,m,chimpanzee,no_tool,1,19,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,6,alex,10,m,chimpanzee,no_tool,1,20,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,13,alex,10,m,chimpanzee,no_tool,1,21,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,22,alex,10,m,chimpanzee,no_tool,1,22,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,12,alex,10,m,chimpanzee,no_tool,1,23,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,11,alex,10,m,chimpanzee,no_tool,2,24,1,1,1,1.0,0,0,1.0
volter2014cognitive,2,20,alex,10,m,chimpanzee,tool,1,1,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,21,alex,10,m,chimpanzee,tool,2,2,2,2,1,1.0,0,0,2.0
volter2014cognitive,2,12,alex,10,m,chimpanzee,tool,1,3,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,2,alex,10,m,chimpanzee,tool,1,4,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,7,alex,10,m,chimpanzee,tool,5,5,0,2,1,1.0,1,0,2.0
volter2014cognitive,2,16,alex,10,m,chimpanzee,tool,1,6,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,14,alex,10,m,chimpanzee,tool,1,7,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,19,alex,10,m,chimpanzee,tool,4,8,2,1,1,1.0,1,0,2.0
volter2014cognitive,2,24,alex,10,m,chimpanzee,tool,3,9,2,2,1,1.0,0,0,2.0
volter2014cognitive,2,11,alex,10,m,chimpanzee,tool,1,10,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,10,alex,10,m,chimpanzee,tool,1,11,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,18,alex,10,m,chimpanzee,tool,2,12,2,1,1,1.0,0,0,2.0
volter2014cognitive,2,8,alex,10,m,chimpanzee,tool,1,13,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,17,alex,10,m,chimpanzee,tool,1,14,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,15,alex,10,m,chimpanzee,tool,1,15,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,22,alex,10,m,chimpanzee,tool,1,16,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,4,alex,10,m,chimpanzee,tool,1,17,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,23,alex,10,m,chimpanzee,tool,1,18,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,1,alex,10,m,chimpanzee,tool,1,19,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,13,alex,10,m,chimpanzee,tool,1,20,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,6,alex,10,m,chimpanzee,tool,1,21,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,5,alex,10,m,chimpanzee,tool,1,22,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,9,alex,10,m,chimpanzee,tool,1,23,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,3,alex,10,m,chimpanzee,tool,1,24,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,17,fifi,18,f,chimpanzee,no_tool,2,1,2,1,0,1.0,0,0,1.0
volter2014cognitive,2,3,fifi,18,f,chimpanzee,no_tool,2,2,0,2,1,1.0,0,0,1.0
volter2014cognitive,2,24,fifi,18,f,chimpanzee,no_tool,3,3,2,2,1,1.0,0,0,1.0
volter2014cognitive,2,10,fifi,18,f,chimpanzee,no_tool,1,4,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,7,fifi,18,f,chimpanzee,no_tool,1,5,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,22,fifi,18,f,chimpanzee,no_tool,1,6,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,15,fifi,18,f,chimpanzee,no_tool,1,7,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,8,fifi,18,f,chimpanzee,no_tool,1,8,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,20,fifi,18,f,chimpanzee,no_tool,1,9,2,1,0,1.0,1,1,1.0
volter2014cognitive,2,18,fifi,18,f,chimpanzee,no_tool,1,10,2,1,1,1.0,1,1,1.0
volter2014cognitive,2,2,fifi,18,f,chimpanzee,no_tool,1,11,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,14,fifi,18,f,chimpanzee,no_tool,1,12,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,21,fifi,18,f,chimpanzee,no_tool,1,13,2,2,1,1.0,1,1,1.0
volter2014cognitive,2,23,fifi,18,f,chimpanzee,no_tool,1,14,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,9,fifi,18,f,chimpanzee,no_tool,1,15,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,19,fifi,18,f,chimpanzee,no_tool,1,16,2,1,1,1.0,1,1,1.0
volter2014cognitive,2,6,fifi,18,f,chimpanzee,no_tool,1,17,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,12,fifi,18,f,chimpanzee,no_tool,2,18,1,1,0,1.0,0,0,1.0
volter2014cognitive,2,13,fifi,18,f,chimpanzee,no_tool,1,19,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,1,fifi,18,f,chimpanzee,no_tool,1,20,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,16,fifi,18,f,chimpanzee,no_tool,1,21,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,4,fifi,18,f,chimpanzee,no_tool,1,22,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,5,fifi,18,f,chimpanzee,no_tool,1,23,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,11,fifi,18,f,chimpanzee,no_tool,1,24,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,20,fifi,18,f,chimpanzee,tool,3,1,2,1,0,1.0,0,0,2.0
volter2014cognitive,2,15,fifi,18,f,chimpanzee,tool,1,2,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,3,fifi,18,f,chimpanzee,tool,1,3,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,4,fifi,18,f,chimpanzee,tool,2,4,0,2,0,1.0,0,0,2.0
volter2014cognitive,2,21,fifi,18,f,chimpanzee,tool,2,5,2,2,1,1.0,0,0,2.0
volter2014cognitive,2,13,fifi,18,f,chimpanzee,tool,2,6,1,2,1,1.0,0,0,2.0
volter2014cognitive,2,7,fifi,18,f,chimpanzee,tool,1,7,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,18,fifi,18,f,chimpanzee,tool,4,8,2,1,1,1.0,0,0,2.0
volter2014cognitive,2,23,fifi,18,f,chimpanzee,tool,1,9,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,8,fifi,18,f,chimpanzee,tool,6,10,0,2,0,1.0,0,0,2.0
volter2014cognitive,2,1,fifi,18,f,chimpanzee,tool,1,11,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,17,fifi,18,f,chimpanzee,tool,1,12,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,24,fifi,18,f,chimpanzee,tool,1,13,2,2,1,1.0,1,1,2.0
volter2014cognitive,2,12,fifi,18,f,chimpanzee,tool,1,14,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,2,fifi,18,f,chimpanzee,tool,1,15,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,10,fifi,18,f,chimpanzee,tool,1,16,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,9,fifi,18,f,chimpanzee,tool,2,17,1,1,0,1.0,0,0,2.0
volter2014cognitive,2,22,fifi,18,f,chimpanzee,tool,2,18,2,2,0,1.0,0,0,2.0
volter2014cognitive,2,19,fifi,18,f,chimpanzee,tool,3,19,2,1,1,1.0,0,0,2.0
volter2014cognitive,2,11,fifi,18,f,chimpanzee,tool,1,20,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,14,fifi,18,f,chimpanzee,tool,1,21,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,6,fifi,18,f,chimpanzee,tool,1,22,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,5,fifi,18,f,chimpanzee,tool,2,23,0,2,1,1.0,0,0,2.0
volter2014cognitive,2,16,fifi,18,f,chimpanzee,tool,1,24,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,16,kuno,14,m,bonobo,no_tool,1,1,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,13,kuno,14,m,bonobo,no_tool,2,2,1,2,1,1.0,0,0,1.0
volter2014cognitive,2,6,kuno,14,m,bonobo,no_tool,1,3,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,4,kuno,14,m,bonobo,no_tool,2,4,0,2,0,1.0,0,0,1.0
volter2014cognitive,2,11,kuno,14,m,bonobo,no_tool,1,5,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,19,kuno,14,m,bonobo,no_tool,1,6,2,1,1,1.0,1,1,1.0
volter2014cognitive,2,9,kuno,14,m,bonobo,no_tool,1,7,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,1,kuno,14,m,bonobo,no_tool,1,8,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,24,kuno,14,m,bonobo,no_tool,1,9,2,2,1,1.0,1,1,1.0
volter2014cognitive,2,17,kuno,14,m,bonobo,no_tool,1,10,2,1,0,1.0,1,1,1.0
volter2014cognitive,2,5,kuno,14,m,bonobo,no_tool,1,11,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,7,kuno,14,m,bonobo,no_tool,1,12,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,15,kuno,14,m,bonobo,no_tool,1,13,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,22,kuno,14,m,bonobo,no_tool,1,14,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,8,kuno,14,m,bonobo,no_tool,1,15,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,2,kuno,14,m,bonobo,no_tool,2,16,0,2,1,1.0,0,0,1.0
